,연도,선수,팀,구종,커브_구사%,커브_구속,커브_상하_무브먼트,커브_좌우_무브먼트,커브_분당_회전수,커브_좌우_릴리스포인트,커브_상하_릴리스포인트,커브_타구_속도,커브_상하_각도,커브_피안타율,커브_피장타율,커브_땅볼%,커브_라인드라이브%,커브_뜬공%,커브_팝플라이%,커브_강한_타구%
0,2023,우규민,삼성,커브,42.6,116.5,0.0,14.4,912.4,-99.8,109.1,128.8,27.5,0.226,0.345,19.4,25.8,27.4,27.4,6.5
1,2023,양현,키움,커브,41.6,118.1,11.0,11.2,1041.9,-94.0,95.2,131.6,22.1,0.333,0.462,22.6,38.7,19.4,19.4,22.6
2,2023,한현희,롯데,커브,37.4,126.3,-0.6,7.8,624.7,-96.0,132.5,130.7,20.5,0.244,0.325,31.0,31.0,23.0,15.0,11.0
3,2023,이채호,KT,커브,36.4,116.2,8.2,20.2,1364.4,-67.6,78.7,126.3,25.5,0.138,0.345,22.7,27.3,36.4,13.6,13.6
4,2023,신정락,롯데,커브,33.9,117.6,5.0,24.7,1556.1,-73.1,117.0,119.5,34.2,0.139,0.389,15.0,10.0,45.0,30.0,15.0
5,2023,페디,NC,커브,33.0,130.9,5.3,21.5,1537.8,-46.8,175.0,126.3,24.2,0.184,0.272,25.9,27.8,26.9,19.4,13.0
6,2023,장시환,한화,커브,30.7,120.3,-23.0,16.0,1758.1,-44.6,183.4,133.1,12.3,0.2,0.2,50.0,27.3,13.6,9.1,9.1
7,2023,윤명준,롯데,커브,30.4,122.0,-22.8,5.5,1498.1,-53.5,186.5,135.2,10.7,0.393,0.464,38.9,44.4,16.7,0.0,33.3
8,2023,박종훈,SSG,커브,29.8,120.8,13.2,6.0,996.1,-51.7,58.9,124.9,37.4,0.168,0.284,11.3,24.5,30.2,34.0,5.7
9,2023,켈리,LG,커브,28.5,128.4,-7.8,4.5,684.4,-29.0,200.6,137.1,19.8,0.233,0.374,27.7,34.0,26.6,11.7,26.6
10,2023,최민준,SSG,커브,27.2,122.5,-20.2,10.8,1477.7,-46.7,184.3,136.2,11.9,0.305,0.39,31.3,50.0,15.6,3.1,21.9
11,2023,요키시,키움,커브,26.0,124.1,-6.2,-2.7,521.8,65.8,181.4,132.7,19.7,0.294,0.353,22.5,37.5,30.0,10.0,17.5
12,2023,문동주,한화,커브,25.0,125.1,-12.2,13.3,1222.2,-36.3,192.7,130.6,15.8,0.226,0.261,40.7,30.5,18.6,10.2,20.3
13,2023,임찬규,LG,커브,23.4,110.2,-19.5,14.9,1411.3,-23.4,185.4,131.8,15.2,0.236,0.268,33.8,38.0,21.1,7.0,11.3
14,2023,심재민,롯데,커브,22.3,116.1,-21.9,-11.4,1518.2,32.9,190.3,131.1,22.6,0.222,0.407,23.1,30.8,38.5,7.7,15.4
15,2023,정찬헌,키움,커브,21.8,113.6,-12.9,16.3,1255.9,-29.4,184.8,133.6,15.6,0.288,0.373,28.9,47.4,21.1,2.6,21.1
16,2023,김시훈,NC,커브,20.2,118.3,-12.1,2.1,811.4,-37.8,193.4,122.6,27.3,0.243,0.27,15.0,45.0,15.0,25.0,10.0
17,2023,박정수,두산,커브,20.1,120.2,-8.0,21.8,1499.4,-71.1,139.2,122.7,24.9,0.235,0.265,23.5,47.1,5.9,23.5,5.9
18,2023,김진욱,롯데,커브,19.5,122.4,-14.9,-0.6,1020.9,37.4,186.3,131.7,13.7,0.278,0.417,34.8,39.1,21.7,4.3,21.7
19,2023,박세웅,롯데,커브,19.1,121.1,-23.4,11.1,1641.7,-22.3,180.4,139.6,13.6,0.175,0.243,45.2,28.6,19.0,7.1,16.7
20,2023,하영민,키움,커브,17.9,122.0,-10.5,8.7,919.2,-45.3,170.8,120.7,20.8,0.231,0.385,28.6,21.4,35.7,14.3,7.1
21,2023,곽빈,두산,커브,17.7,117.4,-18.4,15.6,1504.4,-44.1,185.8,123.5,22.9,0.148,0.205,26.9,26.9,23.1,23.1,3.8
22,2023,박명근,LG,커브,17.2,118.5,-4.3,17.3,1131.3,-78.8,129.0,132.0,17.2,0.182,0.242,40.0,33.3,13.3,13.3,20.0
23,2023,페냐,한화,커브,16.6,128.9,-0.4,6.1,603.1,-70.2,188.6,132.9,12.7,0.155,0.19,48.9,22.2,17.8,11.1,24.4
24,2023,김기중,한화,커브,16.4,115.5,-14.5,-7.0,1031.6,41.4,193.7,129.6,18.0,0.182,0.182,20.0,50.0,20.0,10.0,10.0
25,2023,고우석,LG,커브,16.3,132.8,-17.5,11.3,1478.6,-63.2,165.7,138.6,8.2,0.182,0.205,50.0,40.0,10.0,0.0,30.0
26,2023,뷰캐넌,삼성,커브,15.9,123.1,-22.8,9.4,1582.6,-61.0,192.8,138.1,10.4,0.2,0.283,47.5,27.9,23.0,1.6,27.9
27,2023,맥키니,키움,커브,15.6,121.4,-8.9,-6.8,758.6,45.3,181.9,139.8,17.6,0.321,0.571,26.7,40.0,26.7,6.7,20.0
28,2023,안우진,키움,커브,15.3,129.1,-9.5,12.5,1138.1,-15.1,183.9,126.4,12.0,0.185,0.21,39.4,39.4,18.2,3.0,21.2
29,2023,최준용,롯데,커브,15.1,120.6,-10.0,16.6,1294.2,-83.3,165.8,121.8,21.6,0.258,0.258,26.3,31.6,21.1,21.1,5.3
30,2023,윌커슨,롯데,커브,15.0,121.9,-17.5,9.3,1290.5,-61.7,180.8,138.4,15.6,0.25,0.361,45.0,25.0,20.0,10.0,30.0
31,2023,김민우,한화,커브,14.7,116.3,-8.7,9.7,860.3,-30.3,192.7,132.5,9.6,0.158,0.158,66.7,22.2,0.0,11.1,11.1
32,2023,파노니,KIA,커브,14.5,119.0,-9.6,-14.1,1048.2,55.1,165.5,129.8,19.6,0.275,0.529,33.3,16.7,41.7,8.3,4.2
33,2023,최원태,LG,커브,14.3,123.1,-6.0,5.0,622.2,-37.6,170.0,131.3,17.9,0.143,0.209,27.9,34.9,30.2,7.0,9.3
34,2023,김대우,삼성,커브,14.3,120.4,5.5,4.2,560.6,-71.2,56.0,141.1,20.2,0.4,0.6,31.6,36.8,10.5,21.1,31.6
35,2023,후라도,키움,커브,14.1,129.2,-0.3,12.1,918.2,-31.5,186.0,135.0,19.7,0.227,0.3,28.8,28.8,34.6,7.7,25.0
36,2023,송영진,SSG,커브,13.9,116.6,-19.3,12.3,1402.4,-38.7,188.6,128.1,20.7,0.263,0.421,36.4,27.3,9.1,27.3,18.2
37,2023,앤더슨,KIA,커브,13.8,130.2,5.7,17.6,1310.0,-64.9,181.6,124.5,27.8,0.156,0.2,4.5,40.9,36.4,18.2,0.0
38,2023,김원중,롯데,커브,13.5,117.6,-19.4,14.1,1474.0,-56.9,194.3,124.8,8.8,0.125,0.125,41.7,50.0,0.0,8.3,0.0
39,2023,김명신,두산,커브,13.5,114.8,-23.3,12.9,1606.5,-35.1,183.9,121.8,16.1,0.182,0.25,34.6,38.5,19.2,7.7,3.8
40,2023,한승주,한화,커브,12.8,119.1,-15.3,14.0,1318.5,-46.2,187.2,132.4,19.5,0.292,0.417,25.0,58.3,0.0,16.7,8.3
41,2023,산체스,KIA,커브,12.7,121.8,-9.5,17.8,1315.5,-41.3,167.5,134.6,18.9,0.172,0.31,35.0,35.0,15.0,15.0,10.0
42,2023,이지강,LG,커브,12.6,117.7,-21.5,11.5,1498.0,-27.9,177.0,134.3,17.4,0.273,0.273,27.3,36.4,36.4,0.0,18.2
43,2023,김상수,롯데,커브,12.2,122.1,-16.8,9.0,1256.1,-60.7,181.5,134.9,16.7,0.333,0.417,22.2,33.3,44.4,0.0,0.0
44,2023,임정호,NC,커브,12.1,117.9,-8.1,-15.1,1067.6,43.7,163.9,126.9,13.9,0.12,0.12,25.0,62.5,12.5,0.0,0.0
45,2023,맥카티,SSG,커브,12.0,118.4,-12.8,-15.4,1272.1,49.1,189.4,135.7,11.2,0.24,0.34,42.9,42.9,7.1,7.1,17.9
46,2023,최승용,두산,커브,11.7,115.8,-17.8,-8.8,1226.9,58.3,187.2,134.0,16.4,0.362,0.596,25.0,40.6,31.3,3.1,21.9
47,2023,고영표,KT,커브,11.5,112.5,1.4,28.6,1706.0,-71.1,108.7,124.1,25.0,0.275,0.375,24.6,26.2,32.8,16.4,4.9
48,2023,산체스,한화,커브,11.2,126.1,-6.7,-6.3,733.3,42.9,184.5,127.7,18.4,0.275,0.325,28.6,42.9,17.9,10.7,10.7
49,2023,김범수,한화,커브,10.6,121.8,-11.4,-5.9,934.7,41.6,177.8,128.2,13.7,0.533,0.667,8.3,83.3,8.3,0.0,0.0
50,2023,김광현,SSG,커브,10.5,110.9,-11.0,-14.1,1105.5,40.4,185.9,122.9,19.3,0.191,0.315,38.1,21.4,28.6,11.9,9.5
51,2023,나균안,롯데,커브,10.4,116.1,-14.8,6.8,1044.4,-36.9,185.1,139.8,11.3,0.324,0.514,43.3,36.7,16.7,3.3,16.7
52,2023,플럿코,LG,커브,10.3,119.1,-13.2,17.3,1388.1,-43.6,189.8,132.0,7.8,0.205,0.282,53.3,30.0,13.3,3.3,16.7
53,2023,이정용,LG,커브,10.1,116.4,-14.6,7.4,1032.0,-35.8,194.6,132.1,18.4,0.36,0.48,31.6,47.4,15.8,5.3,21.1
54,2023,장재영,키움,커브,9.8,129.8,-10.8,13.4,1214.4,-34.0,177.9,131.4,17.6,0.184,0.237,33.3,33.3,20.0,13.3,13.3
55,2023,최원준,두산,커브,9.8,112.2,1.5,13.9,860.9,-93.6,103.2,136.2,19.9,0.231,0.282,37.8,24.3,13.5,24.3,13.5
56,2023,장민재,한화,커브,9.6,113.3,-16.5,18.2,1460.1,-58.7,191.9,130.6,15.8,0.533,0.8,46.7,13.3,33.3,6.7,13.3
57,2023,손동현,KT,커브,9.2,116.5,-14.8,19.1,1513.9,-36.3,168.7,132.0,9.3,0.176,0.235,61.9,19.0,14.3,4.8,9.5
58,2023,스트레일리,롯데,커브,9.0,119.4,-20.5,13.2,1550.3,-67.9,192.0,136.8,14.5,0.294,0.353,14.3,71.4,14.3,0.0,28.6
59,2023,이의리,KIA,커브,8.6,124.0,-16.7,-9.7,1257.5,66.6,181.3,133.0,9.3,0.164,0.218,43.8,37.5,18.8,0.0,12.5
60,2023,이용준,NC,커브,8.5,118.7,-14.0,3.5,949.8,-54.5,191.8,136.0,17.0,0.111,0.167,41.7,33.3,8.3,16.7,33.3
61,2023,이태양,한화,커브,8.3,115.6,-4.5,8.8,707.5,-18.9,197.0,129.1,37.3,0.053,0.053,11.8,17.6,17.6,52.9,5.9
62,2023,오원석,SSG,커브,8.1,114.1,-7.8,-12.3,893.8,61.1,178.8,126.1,24.1,0.262,0.381,17.9,39.3,25.0,17.9,10.7
63,2023,백정현,삼성,커브,7.9,119.4,6.0,-1.5,487.3,48.9,178.4,132.7,15.6,0.281,0.344,40.0,30.0,25.0,5.0,20.0
64,2023,수아레즈,삼성,커브,7.2,123.8,-8.9,9.6,894.6,-38.0,189.0,134.5,25.7,0.2,0.225,20.8,29.2,29.2,20.8,20.8
65,2023,문승원,SSG,커브,5.8,120.5,-13.0,3.4,936.0,-47.2,176.6,139.6,17.4,0.444,0.667,18.8,62.5,12.5,6.3,25.0
66,2023,벤자민,KT,커브,4.1,120.5,-16.6,-9.5,1247.4,72.1,197.8,137.5,14.2,0.313,0.406,35.3,41.2,17.6,5.9,29.4
67,2022,양현,키움,커브,53.2,116.4,11.0,11.9,1057.5,-100.7,94.9,130.5,19.1,0.23,0.393,34.8,23.9,30.4,10.9,13.0
68,2022,윤산흠,한화,커브,44.2,127.7,-21.6,10.9,1620.3,-33.0,172.0,131.0,8.3,0.191,0.279,51.7,27.6,20.7,0.0,17.2
69,2022,박준표,KIA,커브,34.6,116.4,1.0,26.4,1596.0,-60.1,118.5,130.8,22.5,0.243,0.324,25.0,32.1,25.0,17.9,10.7
70,2022,이채호,KT,커브,33.1,119.3,9.1,18.5,1348.2,-64.1,73.9,123.5,29.3,0.137,0.157,23.3,23.3,23.3,30.0,13.3
71,2022,우규민,삼성,커브,30.7,116.2,1.2,16.1,1023.9,-97.4,107.1,128.5,19.5,0.298,0.447,29.4,32.4,26.5,11.8,20.6
72,2022,이승진,두산,커브,28.7,122.8,-21.2,9.4,1529.9,-33.3,200.0,134.8,17.8,0.303,0.394,33.3,33.3,28.6,4.8,23.8
73,2022,장시환,한화,커브,27.9,121.2,-24.7,15.9,1844.5,-38.7,186.5,136.9,5.3,0.214,0.357,45.2,48.4,3.2,3.2,25.8
74,2022,요키시,키움,커브,25.1,124.7,-7.6,-3.2,623.0,67.4,183.6,133.4,12.7,0.21,0.293,39.3,38.1,16.7,6.0,19.0
75,2022,켈리,LG,커브,24.6,129.1,-9.8,8.1,906.5,-27.3,198.7,135.7,14.5,0.209,0.24,33.3,41.2,15.7,9.8,23.5
76,2022,최민준,SSG,커브,24.0,121.6,-20.1,12.5,1525.2,-16.2,184.8,135.0,10.0,0.2,0.333,42.9,39.3,10.7,7.1,21.4
77,2022,신정락,한화,커브,23.8,112.5,7.2,31.9,1906.8,-65.9,105.7,126.5,31.7,0.167,0.238,12.9,25.8,29.0,32.3,6.5
78,2022,데스파이네,KT,커브,23.3,129.1,-3.2,15.3,1132.9,-44.8,173.6,132.8,18.3,0.254,0.373,33.3,29.3,25.3,12.1,14.1
79,2022,박종훈,SSG,커브,22.2,119.1,17.9,9.6,1335.6,-49.3,49.2,136.4,29.0,0.244,0.463,20.8,29.2,20.8,29.2,12.5
80,2022,김재열,KIA,커브,22.0,118.7,-23.9,6.7,1518.5,-18.9,197.7,134.7,5.8,0.114,0.114,52.9,41.2,0.0,5.9,5.9
81,2022,김시훈,NC,커브,21.5,119.4,-20.1,7.5,1348.0,-43.2,192.9,130.1,12.2,0.145,0.205,40.5,35.1,16.2,8.1,16.2
82,2022,정찬헌,키움,커브,21.5,118.2,-11.0,18.7,1353.1,-28.9,177.5,138.0,12.5,0.253,0.453,42.5,30.0,22.5,5.0,22.5
83,2022,김대유,LG,커브,21.0,118.2,-3.3,-13.8,929.8,110.3,142.8,121.4,28.1,0.15,0.25,29.4,11.8,29.4,29.4,5.9
84,2022,파노니,KIA,커브,20.2,118.3,-11.2,-13.1,1064.9,66.1,174.4,126.8,13.9,0.169,0.185,42.9,39.3,7.1,10.7,3.6
85,2022,모리만도,SSG,커브,19.7,119.5,-14.1,-9.5,1087.7,51.3,192.3,130.2,17.8,0.167,0.208,39.3,25.0,25.0,10.7,10.7
86,2022,이민우,한화,커브,19.5,121.8,-8.4,10.8,945.6,-36.4,191.2,132.5,26.5,0.1,0.133,26.3,21.1,36.8,15.8,10.5
87,2022,이정용,LG,커브,19.1,119.2,-15.5,11.9,1262.3,-35.7,187.8,122.1,23.7,0.2,0.333,19.4,25.8,32.3,22.6,16.1
88,2022,박세웅,롯데,커브,19.1,121.1,-25.2,12.3,1776.8,-20.9,180.1,134.8,7.9,0.188,0.257,56.8,20.5,18.2,4.5,25.0
89,2022,임찬규,LG,커브,18.6,112.3,-18.4,17.8,1517.1,-24.8,180.3,128.5,18.4,0.221,0.235,23.1,46.2,17.9,12.8,2.6
90,2022,안우진,키움,커브,17.5,128.2,-4.4,10.0,867.0,-24.6,182.8,134.8,21.1,0.148,0.209,30.0,28.0,28.0,14.0,18.0
91,2022,더모디,NC,커브,17.3,117.7,-15.9,-14.3,1328.5,33.6,194.5,126.3,18.1,0.294,0.353,33.3,33.3,22.2,11.1,11.1
92,2022,김민우,한화,커브,17.0,113.8,-12.7,15.1,1198.1,-33.8,192.3,125.6,20.6,0.255,0.337,17.2,53.1,17.2,12.5,4.7
93,2022,김진욱,롯데,커브,16.8,119.0,-22.9,-8.0,1502.8,49.4,188.3,138.4,12.3,0.154,0.192,50.0,33.3,16.7,0.0,16.7
94,2022,플럿코,LG,커브,16.6,119.9,-16.3,15.7,1431.5,-41.8,189.5,128.2,17.2,0.194,0.265,35.2,29.6,20.4,14.8,13.0
95,2022,이우찬,LG,커브,16.5,122.4,-22.6,-11.7,1630.0,58.0,189.0,130.1,15.8,0.065,0.065,25.0,37.5,25.0,12.5,12.5
96,2022,놀린,KIA,커브,16.1,119.2,-15.7,-11.2,1262.4,38.1,187.4,131.9,11.6,0.177,0.25,36.2,38.3,23.4,2.1,14.9
