,이름,id,생년월일,연도,팀명,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
888,신본기,62556,1989-03-21,2023,KT,34,SS,40,75,54,8,11,2,0,1,16,7,0,1,14,2,0,8,3,1,4,0.204,0.365,0.296,0.661,0.322,92.1,0.19,-0.34
898,김준태,62558,1994-07-31,2023,KT,29,C,69,136,115,10,24,4,0,3,37,23,1,0,19,1,0,32,3,1,0,0.209,0.326,0.322,0.648,0.312,85.2,0.37,-0.43
906,임준섭,62611,1989-07-16,2023,SSG,34,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
934,하주석,62700,1994-02-25,2023,한화,29,SS,25,38,35,4,4,1,0,0,5,2,0,0,2,1,0,10,0,0,0,0.114,0.184,0.143,0.327,0.169,-9.6,-0.27,-0.36
962,박승욱,62802,1992-12-04,2023,롯데,31,2B,123,338,290,37,83,18,3,0,107,30,15,4,35,1,0,87,5,11,1,0.286,0.364,0.369,0.733,0.339,101.9,1.83,0.45
975,김민식,62864,1989-06-28,2023,SSG,34,C,122,318,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,0.218,0.302,0.316,0.618,0.279,65.1,0.43,-1.23
976,문승원,62869,1989-11-28,2023,SSG,34,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
984,최항,62884,1994-01-03,2023,SSG,29,1B,21,35,28,3,8,1,0,1,12,6,0,0,5,0,0,12,1,1,1,0.286,0.382,0.429,0.811,0.366,121.6,0.13,0.06
996,한유섬,62895,1989-08-09,2023,SSG,34,RF,109,388,333,29,91,15,2,7,131,55,2,1,34,12,1,81,3,2,7,0.273,0.355,0.393,0.748,0.349,112.5,1.59,1.14
1016,박민우,62907,1993-02-06,2023,NC,30,2B,124,509,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.366,124.2,4.05,1.52
1042,강진성,62925,1993-10-19,2023,"두산,SSG",30,1B,58,145,134,10,35,6,1,3,52,17,0,0,6,3,0,20,2,1,1,0.261,0.306,0.388,0.694,0.32,93.4,0.25,-0.52
1043,강진성,62925,1993-10-19,2023,SSG,30,1B,55,142,131,10,34,6,1,3,51,17,0,0,6,3,0,20,2,1,1,0.26,0.305,0.389,0.694,0.321,93.3,0.43,-0.52
1044,강진성,62925,1993-10-19,2023,두산,30,1B,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.318,90.3,0.01,-0.0
1062,노진혁,62931,1989-07-15,2023,롯데,34,SS,113,390,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,0.338,103.0,2.15,2.31
1073,김성욱,62934,1993-05-01,2023,NC,30,LF,93,204,179,28,40,10,0,6,68,16,6,1,16,5,0,63,7,3,1,0.223,0.304,0.38,0.683,0.315,87.5,0.6,-0.52
1084,나성범,62947,1989-10-03,2023,KIA,34,RF,58,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.485,208.2,3.69,2.26
1087,이형범,62951,1994-02-27,2023,두산,29,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1115,강승호,63123,1994-02-09,2023,두산,29,2B,127,458,418,51,111,18,6,7,162,59,13,6,27,6,0,109,12,4,3,0.266,0.317,0.388,0.705,0.326,97.9,1.66,0.63
1124,장승현,63202,1994-03-07,2023,두산,29,C,76,158,139,11,22,1,0,3,32,9,1,0,6,8,0,36,2,5,0,0.158,0.235,0.23,0.466,0.223,30.0,-0.26,-1.42
1138,김인태,63257,1994-07-03,2023,두산,29,RF,47,115,98,8,25,5,0,1,33,14,2,1,15,1,0,26,1,1,0,0.255,0.36,0.337,0.696,0.335,104.4,0.36,-0.17
1150,이우성,63260,1994-07-17,2023,KIA,29,RF,126,400,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,0.301,0.363,0.417,0.78,0.356,118.3,1.99,1.56
1176,이흥련,63440,1989-05-16,2023,SSG,34,C,16,17,14,1,1,0,0,1,4,2,0,0,2,0,0,6,0,1,0,0.071,0.188,0.286,0.473,0.209,11.2,-0.06,-0.22
1196,윤대경,63464,1994-04-09,2023,한화,29,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1198,이재익,63492,1994-03-18,2023,삼성,29,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1245,박준표,63638,1992-06-26,2023,KIA,31,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1254,장운호,63700,1994-02-20,2023,한화,29,RF,4,11,9,1,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0.222,0.364,0.222,0.586,0.306,83.5,0.03,-0.2
1271,노수광,63704,1990-08-06,2023,한화,33,LF,30,94,77,6,17,5,0,0,22,4,2,1,13,0,0,27,3,2,2,0.221,0.326,0.286,0.612,0.293,75.3,0.01,-0.83
1280,한승택,63722,1994-06-21,2023,KIA,29,C,49,104,85,6,11,2,0,0,13,3,0,0,11,2,0,32,1,6,0,0.129,0.245,0.153,0.398,0.2,11.0,-0.45,-1.36
1295,윤형준,63905,1994-01-31,2023,NC,29,1B,82,236,218,17,55,12,1,5,84,27,1,1,10,3,0,58,6,2,3,0.252,0.291,0.385,0.676,0.309,84.6,0.1,-0.39
1313,김준완,63920,1991-01-20,2023,키움,32,LF,76,225,189,25,42,7,0,0,49,14,0,0,26,1,0,57,2,6,3,0.222,0.315,0.259,0.574,0.277,64.4,-0.39,-0.25
1322,이상민,63960,1990-11-04,2023,삼성,33,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.02,-0.0
1332,권희동,63963,1990-12-30,2023,NC,33,LF,96,373,309,33,88,16,0,7,125,63,2,0,49,6,0,50,4,4,5,0.285,0.388,0.405,0.792,0.371,126.3,2.16,1.25
1349,김민혁,64004,1995-11-21,2023,KT,28,RF,113,448,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.344,106.9,1.88,0.91
1364,문상철,64007,1991-04-06,2023,KT,32,DH,112,330,304,30,79,20,0,9,126,46,3,1,16,3,1,81,4,1,6,0.26,0.298,0.414,0.712,0.324,92.4,0.19,0.86
1372,송민섭,64012,1991-08-02,2023,KT,32,CF,69,25,23,6,3,0,0,0,3,0,3,1,1,1,0,8,0,0,0,0.13,0.2,0.13,0.33,0.174,-7.9,-0.26,-0.04
1377,김병희,64014,1990-12-06,2023,KT,33,3B,5,9,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0.0,0.111,0.0,0.111,0.081,-69.4,-0.15,-0.07
1380,안승한,64011,1992-01-25,2023,두산,31,C,22,27,24,1,5,0,0,0,5,1,1,0,2,1,0,10,0,0,0,0.208,0.296,0.208,0.505,0.259,50.2,0.0,-0.13
1389,안중열,64022,1995-09-01,2023,NC,28,C,77,177,154,15,30,6,0,4,48,17,0,0,16,2,0,45,6,3,2,0.195,0.276,0.312,0.588,0.275,60.8,0.13,-0.88
1412,신성현,64086,1990-10-19,2023,두산,33,1B,12,15,12,1,1,0,0,0,1,1,0,1,3,0,0,4,0,0,0,0.083,0.267,0.083,0.35,0.209,17.5,-0.14,-0.2
1416,한석현,64101,1994-05-17,2023,NC,29,LF,27,66,60,5,12,1,0,0,13,2,2,1,4,0,0,20,2,2,0,0.2,0.25,0.217,0.467,0.223,28.1,-0.4,-0.66
1426,장준원,64115,1995-11-21,2023,KT,28,SS,69,104,87,10,15,2,1,1,22,10,3,0,12,1,0,25,1,3,1,0.172,0.277,0.253,0.53,0.254,46.9,-0.06,-0.16
1437,양석환,64153,1991-07-15,2023,두산,32,1B,140,581,524,73,147,28,0,21,238,89,4,0,40,6,2,133,9,0,11,0.281,0.332,0.454,0.786,0.358,124.1,2.65,1.64
1448,배정대,64166,1995-06-12,2023,KT,28,CF,97,361,311,48,86,16,0,2,108,38,13,3,38,3,1,76,2,4,5,0.277,0.356,0.347,0.703,0.332,98.0,1.77,1.15
1468,이성곤,64266,1992-03-25,2023,한화,31,DH,8,16,14,2,2,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0.143,0.2,0.143,0.343,0.165,-12.0,-0.21,-0.04
1480,임지열,64340,1995-08-22,2023,키움,28,1B,72,246,212,22,55,8,0,5,78,35,1,0,28,3,0,64,3,2,1,0.259,0.353,0.368,0.72,0.341,109.5,0.85,0.93
1487,임병욱,64346,1995-09-30,2023,키움,28,RF,80,223,208,30,54,11,1,6,85,36,4,0,10,1,0,75,1,1,3,0.26,0.293,0.409,0.701,0.32,95.5,0.47,-0.59
1490,하영민,64350,1995-05-07,2023,키움,28,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1500,김호재,64407,1995-05-31,2023,삼성,28,3B,75,127,116,6,25,7,0,0,32,9,2,0,6,0,0,17,4,5,0,0.216,0.254,0.276,0.53,0.243,39.5,-0.38,-0.85
1509,박계범,64468,1996-01-11,2023,두산,27,SS,77,194,169,18,37,6,0,2,49,15,2,2,15,2,1,44,4,5,3,0.219,0.286,0.29,0.576,0.267,58.4,0.03,-0.96
1515,송준석,64469,1994-05-04,2023,삼성,29,LF,7,8,8,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.239,35.9,-0.04,-0.11
1539,오윤석,64504,1992-02-24,2023,KT,31,1B,82,223,199,24,50,13,1,4,77,17,3,1,13,5,1,44,7,6,0,0.251,0.313,0.387,0.7,0.317,88.7,0.44,-0.72
1552,이창진,64560,1991-03-04,2023,KIA,32,LF,104,284,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,0.27,0.362,0.389,0.751,0.351,115.0,1.66,-0.32
1566,강한울,64610,1991-09-12,2023,삼성,32,3B,72,240,212,30,46,7,2,0,57,10,1,3,20,0,1,54,4,6,2,0.217,0.282,0.269,0.551,0.259,50.0,-0.6,-1.8
1575,박찬호,64646,1995-06-05,2023,KIA,28,SS,130,507,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.342,108.4,3.69,1.25
1583,박준태,64657,1991-07-26,2023,키움,32,RF,14,15,14,0,2,0,0,0,2,1,0,0,1,0,0,7,0,0,0,0.143,0.2,0.143,0.343,0.176,-3.3,-0.14,-0.1
1600,지시완,64717,1994-04-10,2023,롯데,29,C,6,10,8,0,1,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0.125,0.125,0.125,0.25,0.095,-60.3,-0.15,-0.19
1603,최영환,64718,1992-02-20,2023,롯데,31,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1618,김민수,64793,1991-03-02,2023,삼성,32,C,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.01,-0.05
1626,이건욱,64861,1995-02-13,2023,SSG,28,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1634,조용호,64868,1989-09-09,2023,KT,34,RF,63,184,161,20,40,2,0,0,42,7,4,0,23,0,0,25,3,0,0,0.248,0.342,0.261,0.603,0.303,78.4,0.05,-0.75
1664,박대온,64944,1995-08-28,2023,NC,28,C,23,27,23,4,6,2,0,0,8,2,0,0,3,0,0,7,0,0,1,0.261,0.333,0.348,0.681,0.321,93.1,0.11,-0.17
1677,김태진,64984,1995-10-07,2023,키움,28,3B,74,212,200,17,55,6,0,0,61,16,0,0,5,1,0,23,1,3,3,0.275,0.292,0.305,0.597,0.279,65.3,-0.02,-1.33
1688,김태훈,65040,1996-03-31,2023,삼성,27,LF,11,22,21,0,2,1,0,0,3,1,0,1,0,0,0,9,1,1,0,0.095,0.095,0.143,0.238,0.104,-54.0,-0.4,-0.42
1715,김재윤,65062,1990-09-16,2023,KT,33,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1741,안익훈,65115,1996-02-12,2023,LG,27,RF,11,23,22,1,7,1,0,0,8,2,0,0,0,1,0,2,0,0,0,0.318,0.348,0.364,0.712,0.34,106.3,-0.07,-0.13
1749,김재성,65132,1996-10-30,2023,삼성,27,C,57,125,99,7,19,3,0,1,25,7,0,1,19,5,1,31,4,2,0,0.192,0.35,0.253,0.602,0.301,78.6,0.32,-0.34
1762,신민재,65207,1996-01-21,2023,LG,27,2B,122,331,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,0.301,79.3,0.68,0.95
1766,채지선,65241,1995-07-11,2023,LG,28,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1771,김민혁,65269,1996-05-03,2023,두산,27,1B,21,36,29,2,4,1,0,0,5,3,0,0,4,1,0,9,3,0,2,0.138,0.25,0.172,0.422,0.219,24.1,-0.21,-0.29
1785,송성문,65357,1996-08-29,2023,키움,27,3B,104,438,388,43,102,16,3,5,139,60,1,0,39,0,5,38,9,4,7,0.263,0.325,0.358,0.683,0.314,89.2,1.33,-0.21
1814,최정용,65464,1996-10-24,2023,KIA,27,2B,56,41,36,17,6,1,0,0,7,1,4,0,2,0,0,9,0,3,0,0.167,0.211,0.194,0.405,0.184,0.7,-0.17,-0.29
1848,전병우,65586,1992-10-24,2023,키움,31,1B,41,75,62,6,9,3,0,1,15,6,0,0,10,1,0,28,0,2,0,0.145,0.274,0.242,0.516,0.252,48.4,-0.3,-0.98
1855,황대인,65610,1996-02-10,2023,KIA,27,1B,60,199,174,19,37,4,0,5,56,26,0,0,18,4,2,50,6,0,3,0.213,0.297,0.322,0.618,0.291,74.2,-0.23,0.31
1862,박정수,65639,1996-01-29,2023,두산,27,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1873,김호령,65653,1992-04-30,2023,KIA,31,CF,76,107,95,16,17,7,0,0,24,6,1,0,8,1,0,38,1,3,0,0.179,0.25,0.253,0.503,0.238,36.4,-0.26,-0.79
1880,이도윤,65703,1996-10-07,2023,한화,27,SS,106,346,309,36,78,13,2,1,98,13,11,3,18,4,1,55,6,15,0,0.252,0.302,0.317,0.619,0.282,68.1,0.82,-1.72
1904,김웅빈,65898,1996-02-09,2023,키움,27,1B,29,74,64,2,12,3,0,0,15,9,0,0,6,2,0,20,1,0,2,0.188,0.27,0.234,0.505,0.25,45.2,-0.45,-1.24
1908,최승민,65905,1996-07-01,2023,LG,27,CF,38,15,14,10,1,0,0,0,1,1,8,3,1,0,0,4,1,0,0,0.071,0.133,0.071,0.205,0.112,-48.1,-0.17,0.01
1912,류진욱,65949,1996-10-10,2023,NC,27,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1915,김선기,66018,1991-09-01,2023,키움,32,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1929,홍창기,66108,1993-11-21,2023,LG,30,RF,141,643,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.407,152.0,5.17,4.72
1932,김기연,66112,1997-09-07,2023,LG,26,C,28,40,34,3,4,0,0,0,4,2,1,0,5,0,0,10,0,1,0,0.118,0.231,0.118,0.348,0.187,2.0,-0.27,-0.08
1936,김대현,66145,1997-03-08,2023,LG,26,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
1941,김주성,66162,1998-01-30,2023,LG,25,SS,11,7,5,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.2,0.429,0.2,0.629,0.349,112.0,0.0,0.0
1949,서예일,66203,1993-06-19,2023,두산,30,2B,5,10,9,2,2,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0.222,0.2,0.222,0.422,0.191,4.4,-0.07,-0.07
1956,조수행,66209,1993-08-30,2023,두산,30,RF,126,249,219,41,48,2,1,1,55,17,26,6,23,2,0,38,2,4,1,0.219,0.298,0.251,0.549,0.268,57.2,-0.32,-0.14
1961,홍성호,66233,1997-07-15,2023,두산,26,RF,21,51,48,6,14,4,0,0,18,5,0,1,2,1,0,14,0,0,0,0.292,0.333,0.375,0.708,0.335,103.0,0.2,-0.09
1978,주효상,66354,1997-11-11,2023,KIA,26,C,19,36,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.18,0.094,-60.7,-0.5,-0.46
1984,안주형,66406,1993-08-14,2023,삼성,30,2B,53,91,79,12,19,2,0,1,24,10,0,0,10,0,0,20,3,1,1,0.241,0.322,0.304,0.626,0.3,77.5,0.11,-0.26
1990,이성규,66409,1993-08-03,2023,삼성,30,CF,109,162,145,23,30,10,1,1,45,18,4,3,8,3,0,42,4,4,2,0.207,0.26,0.31,0.57,0.262,51.7,-0.37,-0.31
2010,최원준,66606,1997-03-23,2023,KIA,26,1B,67,274,238,37,60,11,2,1,78,23,13,5,31,0,0,39,5,5,0,0.252,0.338,0.328,0.666,0.316,90.2,0.69,0.53
2016,김규성,66614,1997-03-08,2023,KIA,26,2B,99,177,158,29,37,6,1,2,51,11,6,2,13,1,0,43,2,5,0,0.234,0.297,0.323,0.619,0.287,71.2,0.34,-1.01
2029,이진영,66657,1997-07-21,2023,한화,26,RF,121,422,358,57,89,22,0,10,141,50,5,0,53,2,0,127,4,4,5,0.249,0.345,0.394,0.738,0.343,108.8,1.93,1.58
2033,신범수,66662,1998-01-25,2023,KIA,25,C,36,100,88,7,15,3,0,2,24,10,0,0,7,2,0,19,3,2,1,0.17,0.245,0.273,0.518,0.244,41.6,-0.15,-1.0
2041,이시원,66702,1996-07-24,2023,KT,27,RF,29,32,29,4,4,0,0,0,4,1,0,1,2,0,0,6,0,1,0,0.138,0.194,0.138,0.332,0.165,-13.9,-0.41,-0.13
2047,김태연,66704,1997-06-10,2023,한화,26,RF,91,280,245,25,64,13,0,4,89,26,5,1,27,3,1,59,3,1,4,0.261,0.337,0.363,0.7,0.329,99.2,0.75,0.03
2053,박상언,66707,1997-03-03,2023,한화,26,C,86,161,145,13,29,5,1,1,39,13,1,2,10,1,0,38,6,3,2,0.2,0.253,0.269,0.522,0.245,43.0,-0.23,-1.48
2058,장진혁,66706,1993-09-30,2023,한화,30,CF,68,178,162,24,36,5,1,0,43,12,5,4,15,0,0,41,3,0,1,0.222,0.287,0.265,0.552,0.269,59.3,-0.18,-0.69
2066,김인환,66715,1994-01-28,2023,한화,29,1B,112,365,325,34,73,16,0,7,110,42,1,0,35,2,2,91,4,0,3,0.225,0.301,0.338,0.64,0.301,80.2,-0.33,-0.92
2086,김동엽,66838,1990-07-24,2023,삼성,33,DH,69,182,165,20,42,7,0,5,64,18,1,1,13,2,0,29,8,0,2,0.255,0.313,0.388,0.701,0.327,94.0,0.21,-0.48
2094,안상현,66864,1997-01-27,2023,SSG,26,2B,58,66,58,10,14,3,0,0,17,2,3,1,5,0,0,15,1,3,0,0.241,0.302,0.293,0.595,0.275,64.0,0.07,-0.35
2102,김찬형,66917,1997-12-29,2023,SSG,26,3B,36,53,48,6,11,3,0,1,17,5,0,0,2,1,0,10,1,2,0,0.229,0.275,0.354,0.629,0.283,67.6,0.06,0.32
2109,박준영,66928,1997-08-05,2023,두산,26,3B,51,138,127,16,28,7,2,4,51,17,2,1,9,2,1,53,0,0,0,0.22,0.283,0.402,0.684,0.312,90.5,0.48,0.76
2125,도태훈,66965,1993-03-18,2023,NC,30,3B,117,302,239,41,56,6,0,5,77,23,2,1,38,17,1,48,8,7,1,0.234,0.376,0.322,0.698,0.337,103.4,1.36,-0.31
2132,홍현빈,67005,1997-08-29,2023,KT,26,CF,44,86,73,15,17,2,0,0,19,1,2,0,13,0,0,21,2,0,0,0.233,0.349,0.26,0.609,0.308,81.3,0.31,-0.55
2135,안치영,67006,1998-05-29,2023,KT,25,RF,76,136,124,20,36,3,1,0,41,9,7,1,6,2,0,35,1,3,1,0.29,0.331,0.331,0.662,0.31,82.6,0.28,-0.78
2148,문상인,67063,1998-01-31,2023,KT,25,C,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,,,0.728,,0.01,0.0
2151,오석주,67116,1998-04-14,2023,LG,25,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2156,고우석,67119,1998-08-06,2023,LG,25,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2158,전준호,67123,1998-07-01,2023,LG,25,C,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.02,-0.0
2165,박유연,67202,1998-12-20,2023,두산,25,C,10,16,15,3,4,2,0,0,6,1,0,0,0,0,0,4,0,1,0,0.267,0.267,0.4,0.667,0.286,70.8,0.04,-0.07
2169,이유찬,67207,1998-08-05,2023,두산,25,2B,103,239,210,31,51,7,2,1,65,16,12,5,20,3,0,51,0,5,1,0.243,0.316,0.31,0.626,0.296,76.1,0.45,-0.58
2174,박치국,67266,1998-03-10,2023,두산,25,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2181,김혜성,67304,1999-01-27,2023,키움,24,2B,137,621,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.392,142.1,6.19,2.5
2189,이정후,67341,1998-08-20,2023,키움,25,CF,86,387,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.318,0.406,0.455,0.86,0.395,143.8,3.7,1.04
2191,이병규,67363,1994-10-05,2023,키움,29,1B,7,17,17,3,4,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0.235,0.235,0.235,0.471,0.225,29.3,-0.09,-0.21
2195,김재웅,67391,1998-10-22,2023,키움,25,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2209,김성윤,67449,1999-02-02,2023,삼성,24,RF,101,272,245,40,77,4,6,2,99,28,20,4,14,4,0,35,2,4,5,0.314,0.355,0.404,0.759,0.349,109.7,1.61,0.82
2218,김민수,67504,1998-03-18,2023,롯데,25,3B,25,51,43,4,9,1,1,0,12,2,0,0,7,0,0,17,2,1,0,0.209,0.32,0.279,0.599,0.29,69.2,-0.01,-0.48
2226,박정우,67609,1998-02-01,2023,KIA,25,RF,21,12,9,2,3,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0.333,0.333,0.333,0.667,0.239,38.1,-0.03,0.2
2230,김석환,67610,1999-02-28,2023,KIA,24,1B,12,26,23,1,3,1,0,0,4,3,0,0,2,0,0,9,1,1,0,0.13,0.2,0.174,0.374,0.181,-2.1,-0.27,-0.12
2237,이정훈,67644,1994-12-07,2023,롯데,29,DH,59,171,152,17,45,7,0,1,55,17,1,1,13,3,0,28,1,0,3,0.296,0.357,0.362,0.719,0.342,105.6,0.43,0.14
2243,박상원,67703,1994-09-09,2023,한화,29,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
