이름,id,연도,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,삼진,병살타,장타율,출루율,실책,생년월일,포지션,희생플라이,WAR*
문상준,50007,2023,KT,0.2,2,5,5,1,1,0,0,0,1,0,0,0,0,0,4,0,0.2,0.2,1,2001-03-14,2루수,0.0,-0.05
강현우,50066,2023,KT,0.194,53,111,103,11,20,6,0,1,29,11,0,1,6,1,17,3,0.282,0.245,2,2001-04-13,포수,0.0,-0.12
손호영,50150,2023,LG,0.205,27,45,44,8,9,0,0,1,12,6,2,1,1,0,12,5,0.273,0.222,5,1994-08-23,유격수,0.0,-0.13
안권수,50202,2023,롯데,0.269,95,309,268,42,72,6,1,2,86,29,16,7,30,1,40,4,0.321,0.341,3,1993-04-19,좌익수,3.0,0.74
이주형,50167,2023,키움,0.326,69,243,215,32,70,13,4,6,109,36,3,1,19,5,53,4,0.507,0.39,0,2001-04-02,중견수,2.0,2.37
박지훈,50204,2023,두산,0.211,22,21,19,2,4,1,0,0,5,2,1,0,2,0,7,0,0.263,0.286,0,2000-09-07,1루수,0.0,-0.09
양찬열,50293,2023,두산,0.239,44,99,88,15,21,2,2,0,27,6,3,2,9,1,23,1,0.307,0.313,0,1997-05-25,우익수,1.0,0.02
김병휘,50304,2023,키움,0.143,10,21,21,0,3,1,0,0,4,1,0,0,0,0,8,0,0.19,0.143,1,2001-02-16,2루수,0.0,-0.2
러셀,50350,2023,키움,0.286,59,239,220,20,63,11,1,4,88,42,1,0,17,1,39,5,0.4,0.339,3,1994-01-23,유격수,1.0,1.36
박주홍,50357,2023,키움,0.122,27,57,49,5,6,0,1,0,8,2,1,0,5,0,26,0,0.163,0.196,0,2001-04-16,1루수,2.0,-0.58
신준우,50312,2023,키움,0.111,24,19,18,4,2,0,0,0,2,0,0,0,0,1,5,0,0.111,0.158,2,2001-06-21,유격수,0.0,-0.17
김지찬,50458,2023,삼성,0.292,99,355,291,59,85,4,2,1,96,18,13,1,48,9,36,1,0.33,0.408,16,2001-03-08,2루수,0.0,2.51
황성빈,50500,2023,롯데,0.212,74,191,170,22,36,5,2,0,45,8,9,5,12,1,27,1,0.265,0.268,1,1997-12-19,좌익수,0.0,-0.61
홍종표,50600,2023,KIA,0.0,40,12,7,10,0,0,0,0,0,0,0,0,3,1,1,0,0.0,0.364,0,2000-05-02,2루수,0.0,0.03
박정현,50709,2023,한화,0.181,53,113,105,12,19,6,0,2,31,4,0,0,3,2,36,2,0.295,0.218,9,2001-07-27,유격수,0.0,-0.31
최인호,50707,2023,한화,0.298,41,148,131,23,39,5,3,2,56,11,1,0,10,4,22,2,0.427,0.363,1,2000-01-30,좌익수,1.0,1.0
전의산,50820,2023,SSG,0.201,56,153,134,11,27,6,0,4,45,21,0,2,15,3,40,1,0.336,0.294,4,2000-11-25,1루수,1.0,-0.14
최지훈,50854,2023,SSG,0.268,117,503,462,65,124,19,8,2,165,30,21,2,29,3,50,3,0.357,0.315,3,1997-07-23,중견수,1.0,2.03
류효승,50868,2023,SSG,0.0,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.25,0,1996-07-16,지명타자,0.0,-0.04
김한별,50902,2023,NC,0.216,79,105,97,8,21,0,1,0,23,4,0,3,4,2,23,6,0.237,0.262,5,2001-01-18,유격수,0.0,-0.41
박영빈,50906,2023,NC,0.071,41,17,14,11,1,1,0,0,2,0,4,2,1,0,6,0,0.143,0.133,0,1997-07-16,지명타자,0.0,-0.27
안재석,51203,2023,두산,0.188,27,68,64,8,12,2,1,1,19,5,2,0,3,0,12,0,0.297,0.221,1,2002-02-15,유격수,1.0,-0.15
김시앙,51303,2023,키움,0.224,33,82,76,6,17,1,0,0,18,7,0,0,3,3,18,4,0.237,0.28,0,2001-10-31,포수,0.0,-0.08
김휘집,51344,2023,키움,0.249,110,435,369,46,92,22,0,8,138,51,0,0,48,5,97,8,0.374,0.338,18,2002-01-01,유격수,7.0,2.26
김동진,51403,2023,삼성,0.262,44,137,122,14,32,7,0,0,39,8,3,0,9,1,26,4,0.32,0.313,6,1996-12-18,2루수,2.0,0.21
김현준,51417,2023,삼성,0.275,109,479,433,62,119,10,6,3,150,46,5,5,30,5,84,5,0.346,0.327,5,2002-10-11,중견수,3.0,1.26
피렐라,51463,2023,삼성,0.285,139,605,557,66,159,28,1,16,237,80,6,4,42,4,69,20,0.425,0.339,2,1989-11-21,좌익수,2.0,2.44
손성빈,51528,2023,롯데,0.263,45,80,76,13,20,3,0,1,26,15,0,0,2,0,10,3,0.342,0.282,1,2002-01-14,포수,0.0,0.13
김선우,51604,2023,KIA,0.143,5,7,7,0,1,0,0,0,1,0,0,0,0,0,2,0,0.143,0.143,0,2001-01-18,포수,0.0,-0.07
조현진,51701,2023,NC,0.2,10,5,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0.2,0.2,0,2002-09-10,유격수,0.0,-0.03
장지승,51706,2023,한화,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1998-07-04,우익수,0.0,-0.07
박형준,51803,2023,롯데,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,2001-06-28,투수,0.0,0.0
추신수,51817,2023,SSG,0.254,112,462,382,65,97,17,1,12,152,41,6,4,65,13,79,8,0.398,0.379,0,1982-07-13,지명타자,2.0,1.96
조형우,51865,2023,SSG,0.185,62,133,119,9,22,4,1,2,34,12,0,0,8,1,25,2,0.286,0.24,5,2002-04-04,포수,1.0,-0.21
고명준,51868,2023,SSG,0.0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,2002-07-08,1루수,0.0,-0.1
김주원,51907,2023,NC,0.233,127,474,403,56,94,9,2,10,137,54,15,3,44,15,106,6,0.34,0.328,30,2002-07-30,유격수,4.0,1.96
오장한,51991,2023,NC,0.143,3,8,7,2,1,0,0,0,1,0,0,0,1,0,5,0,0.143,0.25,0,2002-05-20,우익수,0.0,-0.04
오태양,51996,2023,NC,0.0,21,3,3,4,0,0,0,0,0,0,3,3,0,0,3,0,0.0,0.0,1,2002-04-25,중견수,0.0,-0.09
김병준,52002,2023,KT,0.0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,2003-07-03,중견수,0.0,-0.0
알포드,52009,2023,KT,0.289,133,547,491,83,142,31,3,15,224,70,17,4,47,6,140,6,0.456,0.356,3,1994-07-20,좌익수,3.0,3.28
박수종,52305,2023,키움,0.422,23,50,45,7,19,1,2,0,24,3,0,0,3,1,6,1,0.533,0.46,0,1999-02-25,우익수,1.0,0.73
박찬혁,52348,2023,키움,0.201,48,167,154,13,31,7,0,1,41,8,0,0,10,3,41,1,0.266,0.263,1,2003-04-25,좌익수,0.0,-0.56
조민성,52405,2023,삼성,0.207,15,29,29,1,6,2,0,0,8,5,0,1,0,0,6,1,0.276,0.207,0,2003-10-22,1루수,0.0,-0.37
김상민,52402,2023,삼성,0.083,8,13,12,3,1,0,0,0,1,0,0,0,1,0,3,0,0.083,0.154,0,2003-12-06,좌익수,0.0,-0.15
이재현,52415,2023,삼성,0.249,143,538,458,61,114,19,2,12,173,60,5,4,52,6,89,9,0.378,0.33,20,2003-02-04,유격수,6.0,1.85
김영웅,52430,2023,삼성,0.187,55,103,91,11,17,6,0,2,29,12,1,0,8,0,28,2,0.319,0.25,6,2003-08-24,3루수,1.0,-0.11
김동혁,52504,2023,롯데,0.0,15,9,7,3,0,0,0,0,0,0,1,0,2,0,3,0,0.0,0.222,0,2000-09-15,우익수,0.0,-0.05
렉스,52547,2023,롯데,0.246,55,234,203,20,50,4,2,4,70,30,0,1,28,1,54,3,0.345,0.338,2,1993-11-12,우익수,2.0,0.34
윤동희,52591,2023,롯데,0.287,107,423,387,45,111,18,1,2,137,41,3,6,28,1,69,10,0.354,0.333,4,2003-09-18,우익수,5.0,0.95
김도영,52605,2023,KIA,0.303,84,385,340,72,103,20,5,7,154,47,25,4,38,1,62,14,0.453,0.371,13,2003-10-02,3루수,4.0,3.7
소크라테스,52630,2023,KIA,0.285,142,608,547,91,156,31,3,20,253,96,15,6,52,1,80,13,0.463,0.344,7,1992-09-06,중견수,8.0,4.58
윤도현,52667,2023,KIA,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1,2003-05-07,3루수,0.0,0.01
이상혁,52704,2023,한화,0.0,7,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0,2001-09-14,중견수,0.0,-0.07
유상빈,52705,2023,한화,0.0,3,8,6,1,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.25,0,2000-05-09,지명타자,0.0,-0.08
권광민,52769,2023,한화,0.151,66,81,73,11,11,1,1,2,20,9,2,0,6,1,24,2,0.274,0.225,3,1997-12-12,좌익수,0.0,-0.3
류현인,53036,2023,KT,0.13,17,24,23,6,3,0,0,0,3,3,0,0,1,0,4,0,0.13,0.167,1,2000-11-08,3루수,0.0,-0.22
손민석,53057,2023,KT,0.1,9,12,10,2,1,0,0,0,1,1,0,0,1,1,3,0,0.1,0.25,1,2004-06-21,2루수,0.0,-0.06
정준영,53058,2023,KT,0.292,34,55,48,6,14,2,0,0,16,6,0,0,3,0,11,1,0.333,0.333,1,2004-01-26,중견수,0.0,0.07
송대현,53105,2023,LG,0.0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,1,2000-02-03,유격수,0.0,-0.07
오스틴,53123,2023,LG,0.313,139,583,520,87,163,29,4,23,269,95,7,3,53,3,75,11,0.517,0.376,14,1993-10-14,1루수,7.0,5.22
김범석,53144,2023,LG,0.111,10,29,27,3,3,1,0,1,7,4,0,0,1,0,5,1,0.259,0.138,2,2004-05-21,1루수,1.0,-0.27
로하스,53211,2023,두산,0.253,122,464,403,52,102,24,4,19,191,65,0,1,55,3,68,5,0.474,0.345,2,1993-02-24,좌익수,3.0,3.04
송재선,53303,2023,키움,0.333,5,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0.333,0.333,0,2000-06-30,우익수,0.0,0.0
이승원,53302,2023,키움,0.0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,1,2004-07-02,유격수,0.0,-0.11
김건희,53312,2023,키움,0.182,9,13,11,0,2,0,0,0,2,0,0,0,2,0,4,1,0.182,0.308,1,2004-11-07,1루수,0.0,-0.04
김동헌,53344,2023,키움,0.242,102,242,211,22,51,5,2,2,66,17,0,0,17,8,55,7,0.313,0.318,4,2004-07-15,포수,3.0,0.74
도슨,53327,2023,키움,0.336,57,261,229,37,77,14,2,3,104,29,9,2,18,9,41,3,0.454,0.398,4,1995-05-19,중견수,5.0,2.44
류승민,53404,2023,삼성,0.212,24,57,52,5,11,3,0,0,14,5,0,0,2,1,19,0,0.269,0.255,1,2004-10-11,우익수,0.0,-0.28
김재상,53400,2023,삼성,0.15,17,22,20,1,3,0,0,1,6,2,0,0,2,0,4,1,0.3,0.227,1,2004-07-26,3루수,0.0,-0.04
강준서,53460,2023,삼성,0.214,10,15,14,2,3,1,0,0,4,0,0,1,1,0,2,0,0.286,0.267,0,2000-10-13,좌익수,0.0,-0.06
구드럼,53506,2023,롯데,0.295,50,201,173,16,51,14,1,0,67,28,0,0,23,1,46,6,0.387,0.373,13,1992-02-28,3루수,4.0,1.33
윤수녕,53505,2023,롯데,0.25,3,4,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0.25,0.25,0,2000-03-01,우익수,0.0,-0.02
김민석,53554,2023,롯데,0.255,129,454,400,53,102,24,0,3,135,39,16,3,31,6,112,6,0.338,0.314,1,2004-05-09,중견수,5.0,1.01
서동욱,53569,2023,롯데,0.118,13,20,17,2,2,1,0,0,3,0,0,0,3,0,5,1,0.176,0.25,0,2000-03-24,우익수,0.0,-0.12
정대선,53568,2023,롯데,0.15,19,47,40,5,6,1,0,0,7,6,0,0,2,2,8,0,0.175,0.217,0,2004-11-16,2루수,2.0,-0.33
배영빈,53587,2023,롯데,0.313,18,18,16,2,5,2,0,0,7,0,1,0,1,0,2,0,0.438,0.353,2,2000-06-26,유격수,0.0,0.18
오그레디,53712,2023,한화,0.125,22,86,80,3,10,3,0,0,13,8,1,0,5,0,40,0,0.163,0.174,1,1992-05-17,좌익수,1.0,-0.9
윌리엄스,53716,2023,한화,0.244,68,273,258,29,63,14,0,9,104,45,1,1,8,4,63,6,0.403,0.275,3,1993-09-08,좌익수,3.0,0.32
문현빈,53764,2023,한화,0.266,137,481,428,47,114,22,2,5,155,49,5,1,33,6,84,7,0.362,0.324,9,2004-04-20,중견수,5.0,1.55
이민준,53795,2023,한화,0.0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.5,0,2004-02-02,유격수,0.0,0.02
에레디아,53827,2023,SSG,0.323,122,523,473,76,153,29,0,12,218,76,12,8,39,9,75,13,0.461,0.385,5,1991-01-31,좌익수,1.0,4.12
김정민,53865,2023,SSG,0.5,8,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0,2004-03-07,우익수,0.0,0.03
김건웅,53844,2023,SSG,0.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,2000-05-08,1루수,0.0,-0.08
마틴,53955,2023,NC,0.283,118,503,435,55,123,20,2,17,198,90,15,3,57,1,107,8,0.455,0.36,3,1995-09-05,중견수,10.0,3.48
박한결,53992,2023,NC,0.333,12,18,15,3,5,1,0,1,9,5,0,0,3,0,7,0,0.6,0.444,0,2004-04-26,좌익수,0.0,0.25
정훈,60523,2023,롯데,0.279,80,233,201,40,56,14,0,6,88,31,2,0,26,0,39,4,0.438,0.358,5,1987-07-18,1루수,2.0,1.3
오태곤,60558,2023,SSG,0.239,123,305,272,37,65,14,1,7,102,28,20,1,18,4,67,6,0.375,0.293,6,1991-11-18,1루수,3.0,0.43
이상호,60566,2023,KT,0.148,63,60,54,15,8,1,0,0,9,5,2,0,2,0,9,2,0.167,0.179,1,1989-02-05,2루수,0.0,-0.57
유강남,61102,2023,롯데,0.261,121,403,352,45,92,13,0,10,135,55,1,1,37,8,64,13,0.384,0.342,4,1992-07-15,포수,4.0,2.3
이천웅,61186,2023,LG,1.0,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,1.0,1.0,0,1988-10-20,중견수,0.0,0.16
고종욱,61353,2023,KIA,0.296,114,286,270,35,80,17,0,3,106,39,2,2,14,0,58,3,0.393,0.329,2,1989-01-11,좌익수,2.0,0.91
김헌곤,61404,2023,삼성,0.0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1988-11-09,중견수,0.0,-0.1
류지혁,62234,2023,삼성,0.268,132,522,455,63,122,11,1,2,141,45,26,2,46,6,73,12,0.31,0.34,6,1994-01-13,3루수,4.0,0.68
박세혁,62244,2023,NC,0.211,88,283,242,35,51,9,3,6,84,32,1,1,30,4,43,3,0.347,0.307,1,1990-01-09,포수,1.0,0.92
김재현,62332,2023,키움,0.111,8,10,9,0,1,0,0,0,1,0,0,0,0,0,3,1,0.111,0.111,0,1993-03-18,포수,0.0,-0.21
구자욱,62404,2023,삼성,0.336,119,515,453,65,152,37,1,11,224,71,12,4,53,4,81,5,0.494,0.407,0,1993-02-12,우익수,3.0,4.78
박해민,62415,2023,LG,0.285,144,558,485,80,138,14,2,6,174,59,26,12,45,3,74,7,0.359,0.348,3,1990-02-24,중견수,1.0,1.92
신본기,62556,2023,KT,0.204,40,75,54,8,11,2,0,1,16,7,0,1,14,2,8,3,0.296,0.365,3,1989-03-21,유격수,4.0,0.19
김준태,62558,2023,KT,0.209,69,136,115,10,24,4,0,3,37,23,1,0,19,1,32,3,0.322,0.326,4,1994-07-31,포수,0.0,0.37
하주석,62700,2023,한화,0.114,25,38,35,4,4,1,0,0,5,2,0,0,2,1,10,0,0.143,0.184,2,1994-02-25,유격수,0.0,-0.27
박승욱,62802,2023,롯데,0.286,123,338,290,37,83,18,3,0,107,30,15,4,35,1,87,5,0.369,0.364,11,1992-12-04,2루수,1.0,1.83
김민식,62864,2023,SSG,0.218,122,318,266,28,58,9,1,5,84,34,0,0,31,2,57,6,0.316,0.302,1,1989-06-28,포수,2.0,0.43
최항,62884,2023,SSG,0.286,21,35,28,3,8,1,0,1,12,6,0,0,5,0,12,1,0.429,0.382,4,1994-01-03,1루수,1.0,0.13
한유섬,62895,2023,SSG,0.273,109,388,333,29,91,15,2,7,131,55,2,1,34,12,81,3,0.393,0.355,4,1989-08-09,우익수,7.0,1.59
박민우,62907,2023,NC,0.316,124,509,452,76,143,20,7,2,183,46,26,7,40,9,57,13,0.405,0.381,15,1993-02-06,2루수,3.0,4.05
강진성,62925,2023,SSG,0.261,58,145,134,10,35,6,1,3,52,17,0,0,6,3,20,2,0.388,0.306,1,1993-10-19,1루수,1.0,0.43
노진혁,62931,2023,롯데,0.257,113,390,334,43,86,26,1,4,126,51,7,2,45,3,84,3,0.377,0.347,11,1989-07-15,유격수,4.0,2.15
나성범,62947,2023,KIA,0.365,58,253,222,51,81,12,1,18,149,57,0,0,26,1,36,1,0.671,0.427,1,1989-10-03,우익수,4.0,3.69
김성욱,62934,2023,NC,0.223,93,204,179,28,40,10,0,6,68,16,6,1,16,5,63,7,0.38,0.303,0,1993-05-01,좌익수,1.0,0.6
강승호,63123,2023,두산,0.265,127,459,419,51,111,18,6,7,162,59,13,6,27,6,110,12,0.387,0.316,16,1994-02-09,2루수,3.0,1.66
장승현,63202,2023,두산,0.158,76,158,139,11,22,1,0,3,32,9,1,0,6,8,36,2,0.23,0.235,2,1994-03-07,포수,0.0,-0.26
김인태,63257,2023,두산,0.255,47,115,98,8,25,5,0,1,33,14,2,1,15,1,26,1,0.337,0.36,1,1994-07-03,우익수,0.0,0.36
이우성,63260,2023,KIA,0.301,126,400,355,39,107,17,0,8,148,58,8,1,31,5,81,10,0.417,0.363,1,1994-07-17,우익수,3.0,1.99
이흥련,63440,2023,SSG,0.071,16,17,14,1,1,0,0,1,4,2,0,0,2,0,6,0,0.286,0.188,1,1989-05-16,포수,0.0,-0.06
장운호,63700,2023,한화,0.222,4,11,9,1,2,0,0,0,2,1,0,0,2,0,2,0,0.222,0.364,0,1994-02-20,우익수,0.0,0.03
노수광,63704,2023,한화,0.221,30,94,77,6,17,5,0,0,22,4,2,1,13,0,27,3,0.286,0.326,0,1990-08-06,좌익수,2.0,0.01
한승택,63722,2023,KIA,0.129,49,104,85,6,11,2,0,0,13,3,0,0,11,2,32,1,0.153,0.245,2,1994-06-21,포수,0.0,-0.45
윤형준,63905,2023,NC,0.252,82,236,218,17,55,12,1,5,84,27,1,1,10,3,58,6,0.385,0.291,4,1994-01-31,1루수,3.0,0.1
김준완,63920,2023,키움,0.222,76,225,189,25,42,7,0,0,49,14,0,0,26,1,57,2,0.259,0.315,0,1991-01-20,좌익수,3.0,-0.39
이상민,63960,2023,삼성,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1990-11-04,투수,0.0,-0.02
권희동,63963,2023,NC,0.285,96,373,309,33,88,16,0,7,125,63,2,0,49,6,50,4,0.405,0.388,2,1990-12-30,좌익수,5.0,2.16
김민혁,64004,2023,KT,0.297,113,448,397,68,118,20,3,3,153,41,11,4,36,3,48,4,0.385,0.356,4,1995-11-21,우익수,5.0,1.88
문상철,64007,2023,KT,0.26,112,330,304,30,79,20,0,9,126,46,3,1,16,3,81,4,0.414,0.298,2,1991-04-06,지명타자,6.0,0.19
송민섭,64012,2023,KT,0.13,69,25,23,6,3,0,0,0,3,0,3,1,1,1,8,0,0.13,0.2,0,1991-08-02,중견수,0.0,-0.26
김병희,64014,2023,KT,0.0,5,9,8,0,0,0,0,0,0,0,0,0,1,0,4,0,0.0,0.111,0,1990-12-06,3루수,0.0,-0.15
안승한,64011,2023,두산,0.208,22,27,24,1,5,0,0,0,5,1,1,0,2,1,10,0,0.208,0.296,2,1992-01-25,포수,0.0,0.0
안중열,64022,2023,NC,0.195,77,177,154,15,30,6,0,4,48,17,0,0,16,2,45,6,0.312,0.276,5,1995-09-01,포수,2.0,0.13
신성현,64086,2023,두산,0.083,12,15,12,1,1,0,0,0,1,1,0,1,3,0,4,0,0.083,0.267,0,1990-10-19,1루수,0.0,-0.14
한석현,64101,2023,NC,0.2,27,66,60,5,12,1,0,0,13,2,2,1,4,0,20,2,0.217,0.25,2,1994-05-17,좌익수,0.0,-0.4
장준원,64115,2023,KT,0.172,69,104,87,10,15,2,1,1,22,10,3,0,12,1,25,1,0.253,0.277,2,1995-11-21,유격수,1.0,-0.06
양석환,64153,2023,두산,0.281,140,582,524,73,147,28,0,21,238,89,4,0,41,6,133,9,0.454,0.333,10,1991-07-15,1루수,11.0,2.65
배정대,64166,2023,KT,0.277,97,361,311,48,86,16,0,2,108,38,13,3,38,3,76,2,0.347,0.356,1,1995-06-12,중견수,5.0,1.77
이성곤,64266,2023,한화,0.143,8,16,14,2,2,0,0,0,2,0,0,0,1,0,3,0,0.143,0.2,0,1992-03-25,지명타자,0.0,-0.21
임지열,64340,2023,키움,0.259,72,246,212,22,55,8,0,5,78,35,1,0,28,3,64,3,0.368,0.352,6,1995-08-22,1루수,1.0,0.85
임병욱,64346,2023,키움,0.26,80,223,208,30,54,11,1,6,85,36,4,0,10,1,75,1,0.409,0.293,3,1995-09-30,우익수,3.0,0.47
김호재,64407,2023,삼성,0.216,75,127,116,6,25,7,0,0,32,9,2,0,6,0,17,4,0.276,0.254,2,1995-05-31,3루수,0.0,-0.38
박계범,64468,2023,두산,0.219,78,194,169,18,37,6,0,2,49,15,2,2,15,2,44,4,0.29,0.286,9,1996-01-11,유격수,3.0,0.03
송준석,64469,2023,삼성,0.25,7,8,8,0,2,0,0,0,2,1,0,0,0,0,0,0,0.25,0.25,0,1994-05-04,좌익수,0.0,-0.04
오윤석,64504,2023,KT,0.251,82,223,199,24,50,13,1,4,77,17,3,1,13,5,44,7,0.387,0.313,2,1992-02-24,1루수,0.0,0.44
이창진,64560,2023,KIA,0.27,104,284,244,35,66,11,3,4,95,29,9,2,34,2,44,6,0.389,0.362,1,1991-03-04,좌익수,2.0,1.66
강한울,64610,2023,삼성,0.217,72,240,212,30,46,7,2,0,57,10,1,3,20,0,54,4,0.269,0.282,7,1991-09-12,3루수,2.0,-0.6
박찬호,64646,2023,KIA,0.301,130,507,452,73,136,18,4,3,171,52,30,8,40,2,56,13,0.378,0.356,15,1995-06-05,유격수,6.0,3.69
박준태,64657,2023,키움,0.143,14,15,14,0,2,0,0,0,2,1,0,0,1,0,7,0,0.143,0.2,1,1991-07-26,우익수,0.0,-0.14
지시완,64717,2023,롯데,0.125,6,10,8,0,1,0,0,0,1,0,0,0,0,0,5,0,0.125,0.125,0,1994-04-10,포수,0.0,-0.15
김민수,64793,2023,삼성,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1991-03-02,포수,0.0,0.01
조용호,64868,2023,KT,0.248,63,184,161,20,40,2,0,0,42,7,4,0,23,0,25,3,0.261,0.342,1,1989-09-09,우익수,0.0,0.05
