이름,id,연도,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,삼진,병살타,장타율,출루율,실책,생년월일,포지션,희생플라이,WAR*
박대온,64944,2023,NC,0.286,25,33,28,6,8,3,0,0,11,3,0,0,3,1,8,0,0.393,0.364,3,1995-08-28,포수,1.0,0.11
김태진,64984,2023,키움,0.275,74,212,200,17,55,5,0,0,60,16,0,0,5,1,23,1,0.3,0.292,8,1995-10-07,3루수,3.0,-0.02
김태훈,65040,2023,삼성,0.095,11,22,21,0,2,1,0,0,3,1,0,1,0,0,9,1,0.143,0.095,0,1996-03-31,좌익수,0.0,-0.4
안익훈,65115,2023,LG,0.318,11,23,22,1,7,1,0,0,8,2,0,0,0,1,2,0,0.364,0.348,0,1996-02-12,우익수,0.0,-0.07
김재성,65132,2023,삼성,0.192,57,125,99,7,19,3,0,1,25,7,0,1,19,5,31,4,0.253,0.35,0,1996-10-30,포수,0.0,0.32
신민재,65207,2023,LG,0.277,122,331,282,47,78,5,2,0,87,28,37,17,29,1,34,5,0.309,0.344,9,1996-01-21,2루수,2.0,0.68
김민혁,65269,2023,두산,0.138,21,36,29,2,4,1,0,0,5,3,0,0,4,1,9,3,0.172,0.25,1,1996-05-03,1루수,2.0,-0.21
송성문,65357,2023,키움,0.263,104,438,388,43,102,16,3,5,139,60,1,0,39,0,38,9,0.358,0.325,10,1996-08-29,3루수,7.0,1.33
최정용,65464,2023,KIA,0.167,56,41,36,17,6,1,0,0,7,1,4,0,2,0,9,0,0.194,0.211,1,1996-10-24,2루수,0.0,-0.17
전병우,65586,2023,키움,0.145,41,75,62,6,9,3,0,1,15,6,0,0,10,1,28,0,0.242,0.274,2,1992-10-24,1루수,0.0,-0.3
황대인,65610,2023,KIA,0.213,60,199,174,19,37,4,0,5,56,26,0,0,18,4,50,6,0.322,0.296,3,1996-02-10,1루수,3.0,-0.23
김호령,65653,2023,KIA,0.179,76,107,95,16,17,7,0,0,24,6,1,0,8,1,38,1,0.253,0.25,1,1992-04-30,중견수,0.0,-0.26
이도윤,65703,2023,한화,0.252,106,346,309,36,78,13,2,1,98,13,11,3,18,4,55,6,0.317,0.302,8,1996-10-07,유격수,0.0,0.82
최승민,65905,2023,LG,0.071,38,15,14,10,1,0,0,0,1,1,8,3,1,0,4,1,0.071,0.133,0,1996-07-01,중견수,0.0,-0.17
김웅빈,65898,2023,키움,0.188,29,74,64,2,12,3,0,0,15,9,0,0,6,2,20,1,0.234,0.27,2,1996-02-09,1루수,2.0,-0.45
김기연,66112,2023,LG,0.118,28,40,34,3,4,0,0,0,4,2,1,0,5,0,10,0,0.118,0.231,4,1997-09-07,포수,0.0,-0.27
홍창기,66108,2023,LG,0.332,141,643,524,109,174,35,2,1,216,65,23,23,88,22,83,6,0.412,0.444,2,1993-11-21,우익수,6.0,5.17
김주성,66162,2023,LG,0.2,11,7,5,1,1,0,0,0,1,0,0,0,1,1,2,0,0.2,0.429,2,1998-01-30,유격수,0.0,0.0
서예일,66203,2023,두산,0.222,5,10,9,2,2,0,0,0,2,1,0,0,0,0,2,0,0.222,0.2,1,1993-06-19,2루수,1.0,-0.07
조수행,66209,2023,두산,0.219,126,249,219,41,48,2,1,1,55,17,26,6,23,2,38,2,0.251,0.298,2,1993-08-30,우익수,1.0,-0.32
홍성호,66233,2023,두산,0.292,21,51,48,6,14,4,0,0,18,5,0,1,2,1,14,0,0.375,0.333,1,1997-07-15,우익수,0.0,0.2
주효상,66354,2023,KIA,0.063,19,36,32,2,2,0,0,0,2,1,0,0,2,0,10,1,0.063,0.118,0,1997-11-11,포수,0.0,-0.5
안주형,66406,2023,삼성,0.241,53,91,79,12,19,2,0,1,24,10,0,0,10,0,20,3,0.304,0.322,2,1993-08-14,2루수,1.0,0.11
이성규,66409,2023,삼성,0.207,109,162,145,23,30,10,1,1,45,18,4,3,8,3,42,4,0.31,0.259,3,1993-08-03,중견수,2.0,-0.37
최원준,66606,2023,KIA,0.255,67,274,239,37,61,11,2,1,79,23,13,5,31,0,39,5,0.331,0.341,8,1997-03-23,1루수,0.0,0.69
김규성,66614,2023,KIA,0.234,99,177,158,29,37,6,1,2,51,11,6,2,13,1,43,2,0.323,0.297,8,1997-03-08,2루수,0.0,0.34
이진영,66657,2023,한화,0.249,121,422,358,57,89,22,0,10,141,50,5,0,53,2,127,4,0.394,0.344,5,1997-07-21,우익수,5.0,1.93
신범수,66662,2023,KIA,0.17,36,100,88,7,15,3,0,2,24,10,0,0,7,2,19,3,0.273,0.245,0,1998-01-25,포수,1.0,-0.15
이시원,66702,2023,KT,0.138,29,32,29,4,4,0,0,0,4,1,0,1,2,0,6,0,0.138,0.194,0,1996-07-24,우익수,0.0,-0.41
김태연,66704,2023,한화,0.261,91,280,245,25,64,13,0,4,89,25,5,1,27,3,59,3,0.363,0.337,3,1997-06-10,우익수,4.0,0.75
박상언,66707,2023,한화,0.2,86,161,145,13,29,5,1,1,39,13,1,2,10,1,38,6,0.269,0.253,1,1997-03-03,포수,2.0,-0.23
장진혁,66706,2023,한화,0.222,68,178,162,24,36,5,1,0,43,12,5,4,15,0,41,3,0.265,0.287,1,1993-09-30,중견수,1.0,-0.18
김인환,66715,2023,한화,0.225,112,365,325,34,73,16,0,7,110,42,1,0,35,2,91,4,0.338,0.301,5,1994-01-28,1루수,3.0,-0.33
김동엽,66838,2023,삼성,0.255,69,182,165,20,42,7,0,5,64,18,1,1,13,2,29,8,0.388,0.313,1,1990-07-24,지명타자,2.0,0.21
김찬형,66917,2023,SSG,0.229,36,53,48,6,11,3,0,1,17,5,0,0,2,1,10,1,0.354,0.275,3,1997-12-29,3루수,0.0,0.06
안상현,66864,2023,SSG,0.241,58,66,58,10,14,3,0,0,17,2,3,1,5,0,15,1,0.293,0.302,2,1997-01-27,2루수,0.0,0.07
박준영,66928,2023,두산,0.228,51,138,127,16,29,8,2,4,53,17,2,1,9,2,53,0,0.417,0.29,4,1997-08-05,3루수,0.0,0.48
도태훈,66965,2023,NC,0.234,117,302,239,41,56,6,0,5,77,23,2,1,38,17,48,8,0.322,0.376,4,1993-03-18,3루수,1.0,1.36
홍현빈,67005,2023,KT,0.233,44,86,73,15,17,2,0,0,19,1,2,0,13,0,21,2,0.26,0.349,0,1997-08-29,중견수,0.0,0.31
안치영,67006,2023,KT,0.29,76,136,124,20,36,3,1,0,41,9,7,1,6,2,35,1,0.331,0.331,2,1998-05-29,우익수,1.0,0.28
전준호,67123,2023,LG,0.0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,1998-07-01,포수,0.0,-0.02
박유연,67202,2023,두산,0.267,10,16,15,3,4,2,0,0,6,1,0,0,0,0,4,0,0.4,0.267,1,1998-12-20,포수,0.0,0.04
이유찬,67207,2023,두산,0.243,104,239,210,31,51,7,2,1,65,16,12,5,20,3,51,0,0.31,0.316,16,1998-08-05,2루수,1.0,0.45
김혜성,67304,2023,키움,0.335,137,621,556,104,186,29,6,7,248,57,25,3,57,3,77,6,0.446,0.396,17,1999-01-27,2루수,5.0,6.19
이정후,67341,2023,키움,0.318,86,387,330,50,105,23,2,6,150,45,6,3,49,3,23,1,0.455,0.406,1,1998-08-20,중견수,5.0,3.7
이병규,67363,2023,키움,0.235,7,17,17,3,4,0,0,0,4,2,0,0,0,0,4,0,0.235,0.235,0,1994-10-05,1루수,0.0,-0.09
김성윤,67449,2023,삼성,0.314,101,272,245,40,77,4,6,2,99,28,20,4,14,4,35,2,0.404,0.354,2,1999-02-02,우익수,5.0,1.61
김민수,67504,2023,롯데,0.209,25,51,43,4,9,1,1,0,12,2,0,0,7,0,17,2,0.279,0.32,2,1998-03-18,3루수,0.0,-0.01
박정우,67609,2023,KIA,0.333,21,12,9,2,3,0,0,0,3,0,0,0,0,0,1,0,0.333,0.333,0,1998-02-01,우익수,0.0,-0.03
김석환,67610,2023,KIA,0.13,12,26,23,1,3,1,0,0,4,3,0,0,2,0,9,1,0.174,0.2,0,1999-02-28,1루수,0.0,-0.27
이정훈,67644,2023,롯데,0.296,59,171,152,17,45,7,0,1,55,17,1,1,13,3,28,1,0.362,0.357,1,1994-12-07,지명타자,3.0,0.43
이정범,67807,2023,SSG,0.172,15,33,29,2,5,0,0,0,5,4,0,0,2,0,6,1,0.172,0.212,0,1998-04-10,지명타자,2.0,-0.32
김수윤,67900,2023,NC,0.214,16,15,14,0,3,0,0,0,3,2,0,0,1,0,4,0,0.214,0.267,1,1998-07-16,3루수,0.0,-0.04
박성한,67893,2023,SSG,0.266,128,529,459,53,122,19,0,9,168,47,4,1,58,1,56,7,0.366,0.347,19,1998-03-30,유격수,4.0,2.8
천재환,67905,2023,NC,0.239,78,179,163,12,39,7,1,2,54,17,2,3,8,4,44,5,0.331,0.288,0,1994-04-01,중견수,2.0,0.05
이재용,67993,2023,한화,0.5,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0,1999-02-28,포수,0.0,0.02
강백호,68050,2023,KT,0.265,71,271,238,32,63,10,1,8,99,39,3,0,31,0,55,1,0.416,0.347,1,1999-07-29,지명타자,2.0,0.76
이재원,68106,2023,LG,0.214,57,129,112,15,24,5,0,4,41,18,4,2,12,2,40,1,0.366,0.295,2,1999-07-17,좌익수,3.0,0.16
송찬의,68110,2023,LG,0.056,19,22,18,2,1,1,0,0,2,1,1,0,4,0,6,0,0.111,0.227,1,1999-02-20,1루수,0.0,-0.24
문성주,68119,2023,LG,0.294,136,534,449,77,132,21,4,2,167,57,24,14,67,8,34,10,0.372,0.392,3,1997-02-20,좌익수,4.0,2.98
권민석,68204,2023,두산,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1999-02-20,유격수,0.0,-0.05
전민재,68205,2023,두산,0.235,19,18,17,3,4,2,0,0,6,1,0,3,0,0,3,2,0.353,0.235,0,1999-06-30,3루수,0.0,-0.14
예진원,68330,2023,키움,0.235,16,36,34,2,8,1,0,1,12,4,0,0,0,0,7,0,0.353,0.235,0,1999-03-16,좌익수,0.0,-0.1
김수환,68346,2023,키움,0.216,50,114,97,8,21,4,0,2,31,15,0,0,11,4,36,1,0.32,0.319,1,1998-03-20,1루수,1.0,0.12
공민규,68407,2023,삼성,0.194,22,33,31,0,6,1,1,0,9,2,0,0,2,0,13,1,0.29,0.242,0,1999-09-27,3루수,0.0,-0.16
윤정빈,68463,2023,삼성,0.147,28,43,34,5,5,0,0,1,8,3,1,0,7,2,12,1,0.235,0.326,0,1999-06-24,1루수,0.0,-0.07
이태훈,68466,2023,삼성,0.231,12,14,13,1,3,1,0,0,4,0,0,0,1,0,7,0,0.308,0.286,1,1995-04-03,1루수,0.0,-0.04
이호연,68504,2023,KT,0.278,85,234,212,28,59,5,1,3,75,17,4,2,16,4,41,6,0.354,0.339,9,1995-06-03,2루수,1.0,0.79
장두성,68507,2023,롯데,0.154,25,15,13,7,2,0,0,0,2,1,2,0,1,0,3,1,0.154,0.214,0,1999-09-16,중견수,0.0,-0.08
정보근,68518,2023,롯데,0.333,55,101,81,11,27,6,1,1,38,13,1,0,14,1,13,1,0.469,0.433,1,1999-08-31,포수,1.0,1.19
한동희,68525,2023,롯데,0.223,108,353,319,30,71,11,0,5,97,32,1,3,26,1,58,16,0.304,0.279,12,1999-06-01,3루수,5.0,-0.37
한준수,68646,2023,KIA,0.256,48,94,86,9,22,4,0,2,32,12,0,0,7,0,26,2,0.372,0.312,0,1999-02-13,포수,0.0,0.49
이원석,68700,2023,한화,0.19,81,138,116,20,22,1,1,0,25,8,13,3,21,1,33,3,0.216,0.319,2,1999-03-31,중견수,0.0,0.04
정은원,68743,2023,한화,0.222,122,459,388,50,86,12,0,2,104,30,6,3,62,3,73,4,0.268,0.333,8,2000-01-17,2루수,1.0,0.84
최상민,68805,2023,SSG,0.235,51,41,34,5,8,0,0,0,8,3,2,2,4,0,7,0,0.235,0.308,0,1999-08-20,중견수,1.0,-0.13
오영수,68904,2023,NC,0.236,70,238,208,21,49,9,1,4,72,24,3,3,17,5,55,5,0.346,0.305,8,2000-01-30,1루수,3.0,-0.17
최준우,68868,2023,SSG,0.267,38,69,60,5,16,1,0,0,17,6,0,1,8,0,10,3,0.283,0.348,0,1999-03-25,2루수,1.0,0.13
최보성,68909,2023,NC,0.263,12,21,19,2,5,0,0,0,5,0,0,0,2,0,2,1,0.263,0.333,1,1998-10-16,3루수,0.0,0.05
김형준,68912,2023,NC,0.236,26,82,72,10,17,2,0,6,37,13,0,0,8,1,24,3,0.514,0.321,2,1999-11-02,포수,0.0,0.71
박민석,69056,2023,KT,0.25,4,4,4,1,1,0,0,0,1,0,0,0,0,0,3,0,0.25,0.25,1,2000-04-13,유격수,0.0,-0.0
강민성,69064,2023,KT,0.182,12,27,22,2,4,1,0,0,5,0,0,0,4,0,10,0,0.227,0.308,2,1999-12-08,3루수,0.0,-0.02
문보경,69102,2023,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,8,58,2,83,5,0.448,0.377,20,2000-07-19,3루수,4.0,4.13
송승환,69203,2023,두산,0.229,30,76,70,10,16,3,1,0,21,4,0,1,4,0,16,2,0.3,0.27,0,2000-10-28,좌익수,0.0,-0.25
김태근,69207,2023,두산,0.212,41,55,52,9,11,3,0,0,14,3,0,3,0,1,21,0,0.269,0.226,4,1996-08-10,우익수,0.0,-0.43
주성원,69332,2023,키움,0.217,25,72,69,7,15,2,1,0,19,2,0,0,1,0,18,1,0.275,0.225,1,2000-08-30,우익수,1.0,-0.43
김주형,69306,2023,키움,0.147,46,81,68,5,10,2,0,0,12,4,0,0,9,1,27,2,0.176,0.256,2,1996-03-05,유격수,0.0,-0.36
김대한,69238,2023,두산,0.198,33,89,81,10,16,3,1,1,24,7,1,3,7,1,21,0,0.296,0.27,3,2000-12-06,우익수,0.0,-0.22
이해승,69416,2023,삼성,0.25,9,4,4,0,1,1,0,0,2,0,0,0,0,0,1,0,0.5,0.25,0,2000-08-01,3루수,0.0,0.03
이병헌,69428,2023,삼성,0.143,23,33,28,3,4,0,0,0,4,2,0,0,3,0,11,0,0.143,0.219,0,1999-10-26,포수,1.0,-0.19
이학주,69453,2023,롯데,0.209,104,122,110,22,23,2,0,3,34,13,4,1,11,1,31,2,0.309,0.287,9,1990-11-04,유격수,0.0,0.21
김도환,69442,2023,삼성,0.143,9,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0.143,0.25,0,2000-04-14,포수,0.0,-0.04
신윤후,69508,2023,롯데,0.04,28,27,25,2,1,0,0,0,1,1,1,0,0,2,8,0,0.04,0.111,2,1996-01-05,좌익수,0.0,-0.4
고승민,69517,2023,롯데,0.224,94,308,255,35,57,14,2,2,81,24,8,3,42,1,64,2,0.318,0.331,2,2000-08-11,1루수,4.0,0.15
김건,69702,2023,한화,0.167,7,12,12,1,2,0,0,0,2,0,0,0,0,0,8,0,0.167,0.167,1,2000-02-23,지명타자,0.0,-0.14
오선우,69636,2023,KIA,0.179,33,31,28,2,5,0,0,2,11,5,0,0,3,0,15,0,0.393,0.258,1,1996-12-13,1루수,0.0,-0.01
변우혁,69727,2023,KIA,0.225,83,226,200,23,45,4,0,7,70,24,0,0,23,3,74,4,0.35,0.314,9,2000-03-18,1루수,0.0,0.45
허관회,69706,2023,한화,0.0,10,7,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,1,1999-02-12,포수,0.0,-0.16
노시환,69737,2023,한화,0.298,131,595,514,85,153,30,1,31,278,101,2,1,74,4,118,13,0.541,0.388,19,2000-12-03,3루수,3.0,6.93
유로결,69766,2023,한화,0.146,27,53,48,5,7,1,0,0,8,5,1,0,1,1,10,3,0.167,0.173,0,2000-05-30,우익수,2.0,-0.55
최경모,69802,2023,SSG,0.15,28,20,20,6,3,0,0,0,3,1,2,0,0,0,5,0,0.15,0.15,5,1996-06-17,3루수,0.0,-0.13
하재훈,69813,2023,SSG,0.303,77,229,201,35,61,10,1,7,94,35,11,0,19,5,53,0,0.468,0.374,2,1990-10-29,좌익수,2.0,2.02
박주찬,69900,2023,NC,0.143,5,14,14,1,2,0,0,0,2,0,0,0,0,0,2,0,0.143,0.143,1,1996-01-11,3루수,0.0,-0.16
전사민,69969,2023,NC,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1999-07-06,투수,0.0,-0.02
최정원,69992,2023,NC,0.26,39,56,50,12,13,3,2,0,20,5,4,1,1,3,13,1,0.4,0.315,0,2000-06-24,2루수,0.0,0.24
서호철,69995,2023,NC,0.287,114,435,397,50,114,17,3,5,152,41,4,5,20,8,51,9,0.383,0.331,14,1996-10-16,3루수,4.0,1.78
김강민,71837,2023,SSG,0.226,70,166,137,20,31,3,0,2,40,7,2,1,23,1,38,2,0.292,0.335,0,1982-09-13,중견수,3.0,0.16
최형우,72443,2023,KIA,0.302,121,508,431,64,130,27,1,17,210,81,0,0,65,8,83,5,0.487,0.4,1,1983-12-16,지명타자,4.0,3.68
박경수,73113,2023,KT,0.2,107,221,185,12,37,13,0,1,53,12,0,0,30,1,46,2,0.286,0.315,4,1984-03-31,2루수,0.0,-0.03
김재호,74206,2023,두산,0.283,91,302,247,32,70,13,0,3,92,29,4,0,30,8,24,11,0.372,0.376,10,1985-03-21,유격수,2.0,1.83
이용규,74163,2023,키움,0.234,50,178,154,19,36,0,3,0,42,11,2,1,19,1,22,3,0.273,0.318,0,1985-08-26,좌익수,2.0,-0.19
박석민,74465,2023,NC,0.193,30,107,88,9,17,1,0,1,21,8,0,0,14,3,22,4,0.239,0.321,3,1985-06-22,3루수,1.0,-0.08
강민호,74540,2023,삼성,0.29,125,495,434,60,126,19,0,16,193,77,6,1,49,6,65,17,0.445,0.366,3,1985-08-18,포수,5.0,3.8
박병호,75125,2023,KT,0.283,132,493,431,53,122,15,0,18,191,87,2,0,46,8,114,9,0.443,0.357,5,1986-07-10,1루수,8.0,2.39
오재일,75334,2023,삼성,0.203,106,364,315,31,64,15,0,11,112,54,1,0,43,3,110,1,0.356,0.302,8,1986-10-29,1루수,3.0,-0.06
이원석,75566,2023,키움,0.246,89,345,305,22,75,10,0,2,91,30,0,1,34,3,67,9,0.298,0.326,10,1986-10-21,1루수,2.0,-0.67
최정,75847,2023,SSG,0.297,128,552,471,94,140,31,0,29,258,87,7,3,59,15,87,12,0.548,0.388,13,1987-02-28,3루수,6.0,5.78
양의지,76232,2023,두산,0.305,129,510,439,56,134,23,0,17,208,68,8,0,57,11,56,20,0.474,0.396,3,1987-06-05,포수,3.0,5.4
최주환,76267,2023,SSG,0.235,134,478,426,48,100,24,0,20,184,63,0,0,44,4,94,6,0.432,0.31,9,1988-02-28,2루수,3.0,1.62
김현수,76290,2023,LG,0.293,133,556,488,53,143,22,2,6,187,88,2,1,58,1,53,10,0.383,0.364,2,1988-01-12,지명타자,8.0,1.69
황재균,76313,2023,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,3,45,1,64,15,0.413,0.366,11,1987-07-28,3루수,1.0,3.18
이재원,76812,2023,SSG,0.091,27,48,44,3,4,1,0,0,5,2,0,0,2,0,8,4,0.114,0.128,1,1988-02-24,포수,1.0,-0.56
김성현,76802,2023,SSG,0.268,112,354,310,35,83,14,0,1,100,27,4,1,29,0,36,6,0.323,0.328,14,1987-03-09,2루수,2.0,0.95
이명기,76849,2023,한화,0.175,14,42,40,2,7,1,0,0,8,5,1,0,2,0,9,0,0.2,0.214,1,1987-12-26,지명타자,0.0,-0.36
허도환,77243,2023,LG,0.141,47,81,64,8,9,3,0,2,18,10,0,0,3,6,20,3,0.281,0.243,0,1984-07-31,포수,1.0,-0.1
손아섭,77532,2023,NC,0.339,140,609,551,97,187,36,3,5,244,65,14,3,50,2,67,10,0.443,0.393,2,1988-03-18,지명타자,5.0,4.39
김민성,77564,2023,LG,0.249,112,316,273,34,68,11,0,8,103,41,2,1,25,7,58,7,0.377,0.326,8,1988-12-17,2루수,2.0,1.21
김태군,78122,2023,KIA,0.257,114,346,311,24,80,10,1,1,95,42,2,1,15,8,30,17,0.305,0.305,4,1989-12-30,포수,3.0,-0.42
이형종,78135,2023,키움,0.215,99,374,316,35,68,22,1,3,101,37,0,0,39,14,78,11,0.32,0.326,2,1989-06-07,우익수,2.0,0.23
서건창,78168,2023,LG,0.2,44,126,110,14,22,5,2,0,31,12,3,3,10,0,14,5,0.282,0.26,9,1989-08-22,2루수,3.0,-0.46
김재환,78224,2023,두산,0.22,132,484,405,40,89,15,0,10,134,46,3,1,72,5,100,8,0.331,0.343,1,1988-09-22,지명타자,2.0,0.83
최재훈,78288,2023,한화,0.248,125,417,327,23,81,12,0,1,96,33,1,1,56,23,48,9,0.294,0.392,3,1989-08-27,포수,2.0,2.8
전준우,78513,2023,롯데,0.312,138,559,493,80,154,21,3,17,232,77,9,2,52,7,65,12,0.471,0.381,2,1986-02-25,지명타자,7.0,3.6
장성우,78548,2023,KT,0.288,131,464,410,37,118,22,0,11,173,65,1,1,42,2,70,12,0.422,0.351,6,1990-01-17,포수,7.0,3.35
김선빈,78603,2023,KIA,0.32,119,473,419,41,134,16,0,0,150,48,3,1,38,5,26,10,0.358,0.381,7,1989-12-18,2루수,3.0,2.59
오선진,78756,2023,한화,0.23,90,199,165,17,38,6,0,0,44,14,2,0,24,5,34,7,0.267,0.342,4,1989-07-07,유격수,2.0,0.46
오지환,79109,2023,LG,0.268,126,502,422,65,113,24,3,8,167,62,16,7,64,8,82,4,0.396,0.371,14,1990-03-12,유격수,4.0,3.89
정주현,79150,2023,LG,0.273,89,101,88,17,24,2,0,1,29,12,1,5,9,0,16,1,0.33,0.337,10,1990-10-13,1루수,1.0,0.08
채은성,79192,2023,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,0,52,20,102,16,0.428,0.351,5,1990-02-06,1루수,3.0,2.64
박건우,79215,2023,NC,0.319,130,533,458,70,146,34,2,12,220,85,7,5,56,9,71,14,0.48,0.397,0,1990-09-08,우익수,9.0,4.25
정수빈,79231,2023,두산,0.287,137,583,498,75,143,14,11,2,185,33,39,8,64,7,63,2,0.371,0.375,0,1990-10-07,중견수,2.0,3.89
허경민,79240,2023,두산,0.268,130,475,429,44,115,23,1,7,161,48,9,3,35,6,26,6,0.375,0.328,5,1990-08-26,3루수,5.0,2.08
국해성,79290,2023,롯데,0.25,6,10,8,0,2,0,0,0,2,1,0,0,2,0,3,0,0.25,0.4,0,1989-10-08,지명타자,0.0,0.03
박동원,79365,2023,LG,0.249,130,481,409,54,102,17,1,20,181,75,0,1,49,7,90,7,0.443,0.334,8,1990-04-07,포수,8.0,3.41
김상수,79402,2023,KT,0.271,129,512,443,58,120,19,1,3,150,56,5,6,55,3,68,9,0.339,0.353,6,1990-03-23,유격수,3.0,2.29
이지영,79456,2023,키움,0.249,81,237,217,23,54,8,1,0,64,8,1,1,12,1,39,2,0.295,0.291,4,1986-02-27,포수,0.0,0.4
안치홍,79608,2023,롯데,0.292,121,494,425,57,124,20,1,8,170,63,3,3,49,10,53,14,0.4,0.374,4,1990-07-02,2루수,5.0,2.85
