,name,id,birthday,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA,BABIP
53,이주형,50167,2001-04-02,2023,"LG,키움",22,CF,69,243,215,32,70,13,4,6,109,36,3,1,19,5,2,53,4,2,2,0.326,0.39,0.507,0.897,0.405,151.8,2.6,1.39,0.405
55,이주형,50167,2001-04-02,2023,키움,22,CF,51,227,200,30,66,11,4,6,103,34,3,1,19,4,2,48,4,2,2,0.33,0.396,0.515,0.911,0.41,155.4,2.37,1.45,0.405
76,러셀,50350,1994-01-23,2023,키움,29,SS,59,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,0.286,0.339,0.4,0.739,0.345,110.6,1.36,1.45,0.331
94,김지찬,50458,2001-03-08,2023,삼성,22,2B,99,355,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.33,0.738,0.358,116.8,2.51,0.3,0.331
119,최인호,50707,2000-01-30,2023,한화,23,LF,41,148,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.791,0.364,124.5,1.0,0.33,0.343
175,김휘집,51344,2002-01-01,2023,키움,21,SS,110,435,369,46,92,22,0,8,138,51,0,0,48,5,0,97,8,6,7,0.249,0.338,0.374,0.712,0.331,101.9,2.26,-0.79,0.31
186,피렐라,51463,1989-11-21,2023,삼성,34,LF,139,605,557,66,159,28,1,16,237,80,6,4,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,0.352,110.8,2.44,0.03,0.302
211,추신수,51817,1982-07-13,2023,SSG,41,DH,112,462,382,65,96,17,1,12,151,40,6,4,65,13,1,79,8,0,2,0.251,0.377,0.395,0.772,0.367,123.0,1.96,0.89,0.287
230,알포드,52009,1994-07-20,2023,KT,29,LF,133,547,491,83,142,31,3,15,224,70,17,4,47,6,1,140,6,0,3,0.289,0.357,0.456,0.813,0.375,126.9,3.28,0.61,0.375
263,김도영,52605,2003-10-02,2023,KIA,20,3B,84,385,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.378,133.4,3.7,0.35,0.349
265,소크라테스,52630,1992-09-06,2023,KIA,31,CF,142,608,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.806,0.366,125.7,4.58,1.92,0.299
284,오스틴,53123,1993-10-14,2023,LG,30,1B,139,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.405,154.4,5.22,2.92,0.326
288,로하스,53211,1993-02-24,2023,두산,30,LF,122,464,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.372,134.3,3.04,1.21,0.26
292,도슨,53327,1995-05-19,2023,키움,28,CF,57,261,229,37,77,14,2,3,104,29,9,2,18,9,0,41,3,0,5,0.336,0.399,0.454,0.853,0.397,145.3,2.44,1.23,0.389
298,구드럼,53506,1992-02-28,2023,롯데,31,3B,50,201,173,16,51,14,1,0,67,28,0,0,23,1,1,46,6,0,4,0.295,0.373,0.387,0.76,0.357,114.6,1.33,0.06,0.389
309,에레디아,53827,1991-01-31,2023,SSG,32,LF,122,523,473,76,153,29,0,12,218,76,12,8,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,0.391,140.7,4.12,3.78,0.364
312,마틴,53955,1995-09-05,2023,NC,28,CF,118,503,435,55,123,20,2,17,198,90,15,3,57,1,2,107,8,0,10,0.283,0.36,0.455,0.815,0.373,126.5,3.48,1.0,0.33
394,정훈,60523,1987-07-18,2023,롯데,36,1B,80,233,201,40,56,14,0,6,88,31,2,0,26,0,1,39,4,4,2,0.279,0.358,0.438,0.796,0.361,120.4,1.3,0.48,0.316
515,유강남,61102,1992-07-15,2023,롯데,31,C,121,403,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,0.261,0.342,0.384,0.725,0.339,106.1,2.3,0.65,0.291
598,고종욱,61353,1989-01-11,2023,KIA,34,LF,114,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.721,0.337,104.3,0.91,0.48,0.365
845,구자욱,62404,1993-02-12,2023,삼성,30,RF,119,515,453,65,152,37,1,11,224,71,12,4,53,4,2,81,5,2,3,0.336,0.407,0.494,0.902,0.414,153.2,4.78,3.58,0.387
962,박승욱,62802,1992-12-04,2023,롯데,31,2B,123,338,290,37,83,18,3,0,107,30,15,4,35,1,0,87,5,11,1,0.286,0.364,0.369,0.733,0.339,101.9,1.83,0.45,0.407
996,한유섬,62895,1989-08-09,2023,SSG,34,RF,109,388,333,29,91,15,2,7,131,55,2,1,34,12,1,81,3,2,7,0.273,0.355,0.393,0.748,0.349,112.5,1.59,1.14,0.333
1016,박민우,62907,1993-02-06,2023,NC,30,2B,124,509,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.366,124.2,4.05,1.52,0.356
1062,노진혁,62931,1989-07-15,2023,롯데,34,SS,113,390,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,0.338,103.0,2.15,2.31,0.328
1084,나성범,62947,1989-10-03,2023,KIA,34,RF,58,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.485,208.2,3.69,2.26,0.366
1138,김인태,63257,1994-07-03,2023,두산,29,RF,47,115,98,8,25,5,0,1,33,14,2,1,15,1,0,26,1,1,0,0.255,0.36,0.337,0.696,0.335,104.4,0.36,-0.17,0.338
1150,이우성,63260,1994-07-17,2023,KIA,29,RF,126,400,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,0.301,0.363,0.417,0.78,0.356,118.3,1.99,1.56,0.368
1332,권희동,63963,1990-12-30,2023,NC,33,LF,96,373,309,33,88,16,0,7,125,63,2,0,49,6,0,50,4,4,5,0.285,0.388,0.405,0.792,0.371,126.3,2.16,1.25,0.315
1349,김민혁,64004,1995-11-21,2023,KT,28,RF,113,448,397,68,118,20,3,3,153,41,11,4,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,0.344,106.9,1.88,0.91,0.328
1437,양석환,64153,1991-07-15,2023,두산,32,1B,140,581,524,73,147,28,0,21,238,89,4,0,40,6,2,133,9,0,11,0.281,0.332,0.454,0.786,0.358,124.1,2.65,1.64,0.331
1480,임지열,64340,1995-08-22,2023,키움,28,1B,72,246,212,22,55,8,0,5,78,35,1,0,28,3,0,64,3,2,1,0.259,0.353,0.368,0.72,0.341,109.5,0.85,0.93,0.347
1552,이창진,64560,1991-03-04,2023,KIA,32,LF,104,284,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,0.27,0.362,0.389,0.751,0.351,115.0,1.66,-0.32,0.313
1575,박찬호,64646,1995-06-05,2023,KIA,28,SS,130,507,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.342,108.4,3.69,1.25,0.333
1929,홍창기,66108,1993-11-21,2023,LG,30,RF,141,643,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.407,152.0,5.17,4.72,0.388
2029,이진영,66657,1997-07-21,2023,한화,26,RF,121,422,358,57,89,22,0,10,141,50,5,0,53,2,0,127,4,4,5,0.249,0.345,0.394,0.738,0.343,108.8,1.93,1.58,0.35
2125,도태훈,66965,1993-03-18,2023,NC,30,3B,117,302,239,41,56,6,0,5,77,23,2,1,38,17,1,48,8,7,1,0.234,0.376,0.322,0.698,0.337,103.4,1.36,-0.31,0.273
2181,김혜성,67304,1999-01-27,2023,키움,24,2B,137,621,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.392,142.1,6.19,2.5,0.375
2189,이정후,67341,1998-08-20,2023,키움,25,CF,86,387,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.318,0.406,0.455,0.86,0.395,143.8,3.7,1.04,0.324
2209,김성윤,67449,1999-02-02,2023,삼성,24,RF,101,272,245,40,77,4,6,2,99,28,20,4,14,4,0,35,2,4,5,0.314,0.355,0.404,0.759,0.349,109.7,1.61,0.82,0.352
2237,이정훈,67644,1994-12-07,2023,롯데,29,DH,59,171,152,17,45,7,0,1,55,17,1,1,13,3,0,28,1,0,3,0.296,0.357,0.362,0.719,0.342,105.6,0.43,0.14,0.349
2263,박성한,67893,1998-03-30,2023,SSG,25,SS,128,529,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,0.334,101.8,2.8,1.53,0.284
2285,강백호,68050,1999-07-29,2023,KT,24,DH,71,271,238,32,63,10,1,8,99,39,3,0,31,0,4,55,1,0,2,0.265,0.347,0.416,0.763,0.35,110.7,0.76,-0.53,0.311
2302,문성주,68119,1997-02-20,2023,LG,26,LF,136,534,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,0.363,122.3,2.98,0.59,0.312
2362,정보근,68518,1999-08-31,2023,롯데,24,C,55,101,81,11,27,6,1,1,38,13,1,0,14,1,0,13,2,4,1,0.333,0.433,0.469,0.902,0.405,147.4,1.19,0.47,0.382
2434,문보경,69102,2000-07-19,2023,LG,23,3B,131,542,469,77,141,29,5,10,210,72,9,9,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.376,132.4,4.13,1.7,0.345
2528,노시환,69737,2000-12-03,2023,한화,23,3B,131,595,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,0.298,0.388,0.541,0.929,0.418,159.3,6.93,4.25,0.332
2543,하재훈,69813,1990-10-29,2023,SSG,33,LF,77,229,201,35,61,10,1,7,94,35,11,0,19,5,1,53,0,2,2,0.303,0.374,0.468,0.842,0.384,135.2,2.02,0.51,0.378
3406,최형우,72443,1983-12-16,2023,KIA,40,DH,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.409,153.8,3.68,4.06,0.337
4037,김재호,74206,1985-03-21,2023,두산,38,SS,91,302,248,32,70,13,0,3,92,29,4,0,30,8,2,24,11,14,2,0.282,0.375,0.371,0.746,0.339,107.0,1.83,0.57,0.3
4165,강민호,74540,1985-08-18,2023,삼성,38,C,125,495,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.373,124.6,3.8,1.34,0.307
4315,박병호,75125,1986-07-10,2023,KT,37,1B,132,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.368,122.7,2.39,2.79,0.339
4578,최정,75847,1987-02-28,2023,SSG,36,3B,128,552,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.418,155.8,5.78,2.8,0.307
4642,양의지,76232,1987-06-05,2023,두산,36,C,129,509,438,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.306,0.397,0.475,0.872,0.399,151.9,5.4,0.59,0.318
4676,최주환,76267,1988-02-28,2023,SSG,35,2B,134,478,426,48,100,24,0,20,184,63,0,0,43,5,4,94,6,1,3,0.235,0.31,0.432,0.742,0.337,101.4,1.62,1.6,0.254
4692,김현수,76290,1988-01-12,2023,LG,35,DH,133,556,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.35,114.1,1.69,1.61,0.314
4715,황재균,76313,1987-07-28,2023,KT,36,3B,109,457,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.778,0.363,119.2,3.18,1.89,0.337
5124,손아섭,77532,1988-03-18,2023,NC,35,DH,140,609,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,0.339,0.393,0.443,0.836,0.39,140.0,4.39,2.67,0.376
5321,최재훈,78288,1989-08-27,2023,한화,34,C,125,417,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,0.248,0.392,0.294,0.686,0.338,104.7,2.8,0.28,0.286
5384,전준우,78513,1986-02-25,2023,롯데,37,DH,138,559,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.391,140.8,3.6,2.65,0.328
5417,장성우,78548,1990-01-17,2023,KT,33,C,131,464,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.356,114.6,3.35,0.19,0.318
5448,김선빈,78603,1989-12-18,2023,KIA,34,2B,119,472,418,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.321,0.382,0.359,0.74,0.351,113.0,2.59,1.24,0.339
5583,오지환,79109,1990-03-12,2023,LG,33,SS,126,502,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.372,0.396,0.767,0.36,121.9,3.89,1.95,0.312
5630,채은성,79192,1990-02-06,2023,한화,33,1B,137,596,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.358,118.6,2.64,2.17,0.286
5654,박건우,79215,1990-09-08,2023,NC,33,RF,130,533,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,0.319,0.397,0.48,0.877,0.403,148.0,4.25,2.5,0.349
5670,정수빈,79231,1990-10-07,2023,두산,33,CF,137,583,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,0.349,111.0,3.89,1.33,0.324
5755,박동원,79365,1990-04-07,2023,LG,33,C,130,481,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.348,116.0,3.41,1.09,0.267
5843,안치홍,79608,1990-07-02,2023,롯데,33,2B,121,494,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.36,119.1,2.85,1.97,0.314
